activity_id,federal_project,activity,declared_scale,indicator_code,relationship_type
A01,Поддержка семьи,Создание не менее 1000 комнат матери и ребенка и групп кратковременного пребывания детей в вузах,1000 комнат/групп,2.14.Я1.4,direct
A01,Поддержка семьи,Создание не менее 1000 комнат матери и ребенка и групп кратковременного пребывания детей в вузах,1000 комнат/групп,2.14.Я1.5,direct
A01,Поддержка семьи,Создание не менее 1000 комнат матери и ребенка и групп кратковременного пребывания детей в вузах,1000 комнат/групп,2.14.Я.2,indirect
A02,Поддержка семьи,Предоставление материнского капитала,действующая федеральная мера,2.14.Я.2,indirect
A02,Поддержка семьи,Предоставление материнского капитала,действующая федеральная мера,2.14.Я.1,indirect
A02,Поддержка семьи,Предоставление материнского капитала,действующая федеральная мера,2.14.Я.3,indirect
A03,Поддержка семьи,Предоставление Единого пособия нуждающимся семьям,действующая федеральная мера,2.14.Я.1,direct
A03,Поддержка семьи,Предоставление Единого пособия нуждающимся семьям,действующая федеральная мера,2.14.Я1.2,indirect
A04,Поддержка семьи,Предоставление семейной ипотеки,"более 1,5 млн семей с детьми",2.14.Я.2,indirect
A04,Поддержка семьи,Предоставление семейной ипотеки,"более 1,5 млн семей с детьми",2.14.Я.3,indirect
A04,Поддержка семьи,Предоставление семейной ипотеки,"более 1,5 млн семей с детьми",2.14.Я.1,indirect
A05,Поддержка семьи,Предоставление ежегодной семейной выплаты,ежегодная выплата,2.14.Я1.1,direct
A05,Поддержка семьи,Предоставление ежегодной семейной выплаты,ежегодная выплата,2.14.Я.1,indirect
A06,Поддержка семьи,Адресное строительство детских садов в населенных пунктах с выявленной потребностью,не менее 100 детсадов,2.14.Я1.3,direct
A06,Поддержка семьи,Адресное строительство детских садов в населенных пунктах с выявленной потребностью,не менее 100 детсадов,2.14.Я.2,indirect
A07,Поддержка семьи,Оснащение образовательных пространств детских садов,"не менее 2,2 тыс. детсадов",2.14.Я1.3,direct
A07,Поддержка семьи,Оснащение образовательных пространств детских садов,"не менее 2,2 тыс. детсадов",2.14.Я.2,indirect
A08,Многодетная семья,Реализация региональных программ по повышению рождаемости,41 регион,2.14.Я2.4,direct
A08,Многодетная семья,Реализация региональных программ по повышению рождаемости,41 регион,2.14.Я.2,direct
A08,Многодетная семья,Реализация региональных программ по повышению рождаемости,41 регион,2.14.Я.3,direct
A09,Многодетная семья,Государственная социальная помощь на основании социального контракта,ежегодно не менее 220 тыс. семей,2.14.Я2.1,direct
A09,Многодетная семья,Государственная социальная помощь на основании социального контракта,ежегодно не менее 220 тыс. семей,2.14.Я.1,indirect
A10,Многодетная семья,Региональные меры поддержки многодетных семей и меры повышения рождаемости в развитие Указа Президента № 63,комплекс региональных мер,2.14.Я2.3,direct
A10,Многодетная семья,Региональные меры поддержки многодетных семей и меры повышения рождаемости в развитие Указа Президента № 63,комплекс региональных мер,2.14.Я.3,direct
A10,Многодетная семья,Региональные меры поддержки многодетных семей и меры повышения рождаемости в развитие Указа Президента № 63,комплекс региональных мер,2.14.Я.1,indirect
A11,Многодетная семья,Выплата на погашение ипотеки многодетным семьям,450 тыс. руб.,2.14.Я.3,indirect
A11,Многодетная семья,Выплата на погашение ипотеки многодетным семьям,450 тыс. руб.,2.14.Я.1,indirect
A11,Многодетная семья,Выплата на погашение ипотеки многодетным семьям,450 тыс. руб.,2.14.Я.2,indirect
A12,Многодетная семья,Создание групп продленного дня для обучающихся 1–4 классов,ежегодно около 1000 групп,2.14.Я2.2,direct
A12,Многодетная семья,Создание групп продленного дня для обучающихся 1–4 классов,ежегодно около 1000 групп,2.14.Я.2,indirect
A13,Охрана материнства и детства,Создание женских консультаций,336 женских консультаций,2.14.Я3.2,direct
A13,Охрана материнства и детства,Создание женских консультаций,336 женских консультаций,2.14.Я3.5,direct
A13,Охрана материнства и детства,Создание женских консультаций,336 женских консультаций,2.14.Я3.1,indirect
A13,Охрана материнства и детства,Создание женских консультаций,336 женских консультаций,2.14.Я.2,indirect
A14,Охрана материнства и детства,Оснащение перинатальных центров и родильных домов медицинскими изделиями,133 региональных и 9 федеральных перинатальных центров/роддомов,2.14.Я3.3,direct
