activity_id,federal_project,activity,declared_scale,linked_indicator_codes,relationship_type
A01,Поддержка семьи,Создание не менее 1000 комнат матери и ребенка и групп кратковременного пребывания детей в вузах,1000 комнат/групп,2.14.Я1.4; 2.14.Я1.5; 2.14.Я.2,direct; direct; indirect
A02,Поддержка семьи,Предоставление материнского капитала,действующая федеральная мера,2.14.Я.2; 2.14.Я.1; 2.14.Я.3,indirect; indirect; indirect
A03,Поддержка семьи,Предоставление Единого пособия нуждающимся семьям,действующая федеральная мера,2.14.Я.1; 2.14.Я1.2,direct; indirect
A04,Поддержка семьи,Предоставление семейной ипотеки,"более 1,5 млн семей с детьми",2.14.Я.2; 2.14.Я.3; 2.14.Я.1,indirect; indirect; indirect
A05,Поддержка семьи,Предоставление ежегодной семейной выплаты,ежегодная выплата,2.14.Я1.1; 2.14.Я.1,direct; indirect
A06,Поддержка семьи,Адресное строительство детских садов в населенных пунктах с выявленной потребностью,не менее 100 детсадов,2.14.Я1.3; 2.14.Я.2,direct; indirect
A07,Поддержка семьи,Оснащение образовательных пространств детских садов,"не менее 2,2 тыс. детсадов",2.14.Я1.3; 2.14.Я.2,direct; indirect
A08,Многодетная семья,Реализация региональных программ по повышению рождаемости,41 регион,2.14.Я2.4; 2.14.Я.2; 2.14.Я.3,direct; direct; direct
A09,Многодетная семья,Государственная социальная помощь на основании социального контракта,ежегодно не менее 220 тыс. семей,2.14.Я2.1; 2.14.Я.1,direct; indirect
A10,Многодетная семья,Региональные меры поддержки многодетных семей и меры повышения рождаемости в развитие Указа Президента № 63,комплекс региональных мер,2.14.Я2.3; 2.14.Я.3; 2.14.Я.1,direct; direct; indirect
A11,Многодетная семья,Выплата на погашение ипотеки многодетным семьям,450 тыс. руб.,2.14.Я.3; 2.14.Я.1; 2.14.Я.2,indirect; indirect; indirect
A12,Многодетная семья,Создание групп продленного дня для обучающихся 1–4 классов,ежегодно около 1000 групп,2.14.Я2.2; 2.14.Я.2,direct; indirect
A13,Охрана материнства и детства,Создание женских консультаций,336 женских консультаций,2.14.Я3.2; 2.14.Я3.5; 2.14.Я3.1; 2.14.Я.2,direct; direct; indirect; indirect
A14,Охрана материнства и детства,Оснащение перинатальных центров и родильных домов медицинскими изделиями,133 региональных и 9 федеральных перинатальных центров/роддомов,2.14.Я3.3; 2.14.Я3.2; 2.14.Я.2,direct; indirect; indirect
A15,Охрана материнства и детства,Оснащение детских больниц медицинскими изделиями,180 детских больниц,2.14.Я3.3; 2.14.Я3.4,direct; direct
A16,Охрана материнства и детства,Приобретение мобильных медицинских комплексов для детских поликлиник,526 в субъектах РФ и 10 для ФМБА,2.14.Я3.4; 2.14.Я3.3,direct; indirect
A17,Охрана материнства и детства,Проведение циклов ЭКО,485 тыс. циклов ЭКО,2.14.Я.2; 2.14.Я3.1,direct; indirect
A18,Охрана материнства и детства,Реализация региональных программ по охране материнства и детства во всех регионах,все регионы,2.14.Я3.1; 2.14.Я3.2; 2.14.Я3.3; 2.14.Я3.4; 2.14.Я3.5,direct; direct; direct; direct; direct
A19,Старшее поколение,Ремонт объектов социального обслуживания,43 объекта,2.14.Я.4,indirect
A20,Старшее поколение,Реализация региональных программ «Активное долголетие»,все регионы,2.14.Я4.1; 2.14.Я.4,direct; indirect
A21,Старшее поколение,Развивающие и образовательные мероприятия в центрах общения для граждан старшего поколения,более 31 тыс. мероприятий,2.14.Я4.1,direct
A22,Старшее поколение,Предоставление услуг долговременного ухода нуждающимся,не менее 500 тыс. человек,2.14.Я.4,direct
A23,Старшее поколение,Ввод объектов для размещения граждан в стационарных организациях социального обслуживания,"не менее 122 объектов, более 6,9 тыс. мест",2.14.Я.4,indirect
A24,Семейные ценности и инфраструктура культуры,Строительство и модернизация детских школ искусств,не менее 1011 ДШИ,2.14.Я5.2; 2.14.Я.6,direct; indirect
A25,Семейные ценности и инфраструктура культуры,"Модернизация культурно-досуговых учреждений, библиотек, театров и музеев","450 КДУ, 420 библиотек, 100 театров, 250 музеев",2.14.Я5.2; 2.14.Я.6,direct; indirect
A26,Семейные ценности и инфраструктура культуры,"Оснащение театров, музеев, детских школ искусств, училищ, кинозалов","410 театров, 2,1 тыс. музеев, 3,6 тыс. ДШИ/училищ, 2,4 тыс. кинозалов",2.14.Я.5; 2.14.Я5.2; 2.14.Я.6,direct; direct; indirect
A27,Семейные ценности и инфраструктура культуры,Создание модельных библиотек и памятных мест,"2,5 тыс. библиотек, 310 памятных мест",2.14.Я5.2; 2.14.Я.6,direct; indirect
A28,Семейные ценности и инфраструктура культуры,Творческие проекты НКО и выставочные проекты музеев по ценностям и идентичности,"1,3 тыс. проектов НКО, 390 проектов по традиционным ценностям, 144 выставочных проекта",2.14.Я5.1; 2.14.Я5.2,direct; indirect
A29,Семейные ценности и инфраструктура культуры,Культурно-просветительские программы для школьников,479 программ,2.14.Я5.1; 2.14.Я5.2,indirect; direct
A30,Семейные ценности и инфраструктура культуры,Конкурс «Это у нас семейное»,600 тыс. участников,2.14.Я5.1,direct
A31,Семейные ценности и инфраструктура культуры,Пушкинская карта,не менее 280 млн билетов,2.14.Я5.2; 2.14.Я.6,direct; indirect
