indicator_code,indicator_name,observations_total,value_completeness_ratio,regional_coverage_ratio,n_regions_with_any_data,n_years_with_regional_data,min_year,max_year,period_types,unit
2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",1350,1.0,0.9888888888888889,89,2,2025.0,2026.0,месяц,процент
2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",1376,1.0,0.9883720930232558,85,2,2025.0,2026.0,год; месяц,процент
2.14.Я5.2,Увеличение числа посещений организаций культуры по отношению к 2023 году,1290,1.0,0.9883720930232558,85,2,2025.0,2026.0,месяц,процент
2.14.Я3.4,"Доля взятых под диспансерное наблюдение детей в возрасте 0–17 лет с впервые в жизни установленными диагнозами, от общего проведения профилактических медицинских осмотров",1290,1.0,0.9883720930232558,85,2,2025.0,2026.0,месяц,процент
2.14.Я3.5,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности",1290,1.0,0.9883720930232558,85,2,2025.0,2026.0,месяц,процент
2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,1290,1.0,0.9883720930232558,85,2,2025.0,2026.0,месяц,процент
2.14.Я3.2,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",1376,0.9949127906976745,0.9883720930232558,85,3,2024.0,2026.0,год; месяц,процент
2.14.Я.1,Уровень бедности среди многодетных семей,89,1.0,0.9550561797752809,85,1,2024.0,2024.0,год,процент
2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),1536,1.0,0.90625,85,2,2025.0,2026.0,год; месяц,единица
2.14.Я.2,Суммарный коэффициент рождаемости (Я1),1536,1.0,0.90625,85,2,2025.0,2026.0,год; месяц,единица
2.14.Я3.3,Младенческая смертность,7317,1.0,0.9031023643569769,85,15,2012.0,2026.0,год; месяц; накопительно с января,"промилле (0,1 процента)"
2.14.Я1.2,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей",16,1.0,0.0,0,0,,,год; месяц,процент
2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",15,1.0,0.0,0,0,,,месяц,единица
2.14.Я1.3,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",15,1.0,0.0,0,0,,,месяц,процент
2.14.Я2.4,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",15,1.0,0.0,0,0,,,месяц,процент
