source_file,indicator_code,indicator_name,mode,file,n_regions_with_values,n_regions_missing
data (20).xls,2.14.Я.1,Уровень бедности среди многодетных семей,latest,figures/maps_latest/data_20_.xls_2.14.Я.1_latest.png,85,4
data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),latest,figures/maps_latest/data_21_.xls_2.14.Я.2_latest.png,85,4
data (22).xls,2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),latest,figures/maps_latest/data_22_.xls_2.14.Я.3_latest.png,85,4
data (23).xls,2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",latest,figures/maps_latest/data_23_.xls_2.14.Я.4_latest.png,89,0
data (25).xls,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",latest,figures/maps_latest/data_25_.xls_2.14.Я.6_latest.png,85,4
data (29).xls,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,latest,figures/maps_latest/data_29_.xls_2.14.Я3.1_latest.png,85,4
data (30).xls,2.14.Я3.2,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",latest,figures/maps_latest/data_30_.xls_2.14.Я3.2_latest.png,85,4
data (31).xls,2.14.Я3.3,Младенческая смертность,latest,figures/maps_latest/data_31_.xls_2.14.Я3.3_latest.png,85,4
data (32).xls,2.14.Я3.3,Младенческая смертность,latest,figures/maps_latest/data_32_.xls_2.14.Я3.3_latest.png,85,4
data (33).xls,2.14.Я3.4,"Доля взятых под диспансерное наблюдение детей в возрасте 0–17 лет с впервые в жизни установленными диагнозами, от общего проведения профилактических медицинских осмотров",latest,figures/maps_latest/data_33_.xls_2.14.Я3.4_latest.png,85,4
data (34).xls,2.14.Я3.5,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности",latest,figures/maps_latest/data_34_.xls_2.14.Я3.5_latest.png,85,4
data (35).xls,2.14.Я5.2,Увеличение числа посещений организаций культуры по отношению к 2023 году,latest,figures/maps_latest/data_35_.xls_2.14.Я5.2_latest.png,85,4
data (20).xls,2.14.Я.1,Уровень бедности среди многодетных семей,complete_year,figures/maps_complete_year/data_20_.xls_2.14.Я.1_complete_year.png,85,4
data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),complete_year,figures/maps_complete_year/data_21_.xls_2.14.Я.2_complete_year.png,85,4
data (22).xls,2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),complete_year,figures/maps_complete_year/data_22_.xls_2.14.Я.3_complete_year.png,85,4
data (23).xls,2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",complete_year,figures/maps_complete_year/data_23_.xls_2.14.Я.4_complete_year.png,89,0
data (25).xls,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",complete_year,figures/maps_complete_year/data_25_.xls_2.14.Я.6_complete_year.png,85,4
data (29).xls,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,complete_year,figures/maps_complete_year/data_29_.xls_2.14.Я3.1_complete_year.png,85,4
data (30).xls,2.14.Я3.2,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",complete_year,figures/maps_complete_year/data_30_.xls_2.14.Я3.2_complete_year.png,85,4
data (31).xls,2.14.Я3.3,Младенческая смертность,complete_year,figures/maps_complete_year/data_31_.xls_2.14.Я3.3_complete_year.png,85,4
data (32).xls,2.14.Я3.3,Младенческая смертность,complete_year,figures/maps_complete_year/data_32_.xls_2.14.Я3.3_complete_year.png,85,4
data (33).xls,2.14.Я3.4,"Доля взятых под диспансерное наблюдение детей в возрасте 0–17 лет с впервые в жизни установленными диагнозами, от общего проведения профилактических медицинских осмотров",complete_year,figures/maps_complete_year/data_33_.xls_2.14.Я3.4_complete_year.png,85,4
data (34).xls,2.14.Я3.5,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности",complete_year,figures/maps_complete_year/data_34_.xls_2.14.Я3.5_complete_year.png,85,4
data (35).xls,2.14.Я5.2,Увеличение числа посещений организаций культуры по отношению к 2023 году,complete_year,figures/maps_complete_year/data_35_.xls_2.14.Я5.2_complete_year.png,85,4
