observation_id,project_code,project_name,indicator_code,indicator_name,source_table_id,source_file,source_variant_title,source_title,passport_title,territory_name,territory_type,territory_raw,territory_indent_spaces,year,period_type,period_code,period_label,month_start,month_end,period_start,period_end,unit,value,value_raw,last_update,row_number_excel,column_number_excel,region_code,is_subject_89,territory_canonical_status,region_name,federal_district,period_end_dt,period_start_dt,annualized_method,is_full_year,territory_scope_norm
1,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Российская Федерация,Российская Федерация,Российская Федерация,0,2021,год,2021,значение показателя за год,,,2021-01-01,2021-12-31,процент,38.2,38.2,30.12.2025,4,2,,False,Российская Федерация,,,2021-12-31,2021-01-01,explicit_year,True,Российская Федерация
2,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Российская Федерация,Российская Федерация,Российская Федерация,0,2022,год,2022,значение показателя за год,,,2022-01-01,2022-12-31,процент,29.4,29.4,30.12.2025,4,3,,False,Российская Федерация,,,2022-12-31,2022-01-01,explicit_year,True,Российская Федерация
3,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация,    Российская Федерация без учета новых субъектов (с 01.01.2023),4,2023,год,2023,значение показателя за год,,,2023-01-01,2023-12-31,процент,21.5,21.5,30.12.2025,5,4,,False,Российская Федерация,,,2023-12-31,2023-01-01,explicit_year,True,Российская Федерация
4,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация,    Российская Федерация без учета новых субъектов (с 01.01.2023),4,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,19.8,19.8,30.12.2025,5,5,,False,Российская Федерация,,,2024-12-31,2024-01-01,explicit_year,True,Российская Федерация
102,Я,Национальный проект «Семья»,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),data_21,data (21).xls,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация,    Российская Федерация без учета новых субъектов (с 01.01.2023),4,2025,год,2025,значение показателя за год,,,2025-01-01,2025-12-31,единица,1.361,1.361,22.04.2026,5,15,,False,Российская Федерация,,,2025-12-31,2025-01-01,explicit_year,True,Российская Федерация
105,Я,Национальный проект «Семья»,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),data_21,data (21).xls,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация,    Российская Федерация без учета новых субъектов (с 01.01.2023),4,2026,месяц,2026-03,март,3.0,3.0,2026-03-01,2026-03-31,единица,1.359,1.359,22.04.2026,5,18,,False,Российская Федерация,,,2026-03-31,2026-03-01,latest_partial_year,False,Российская Федерация
1638,Я,Национальный проект «Семья»,2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),data_22,data (22).xls,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),Суммарный коэффициент рождаемости третьих и последующих детей (Я2),Суммарный коэффициент рождаемости третьих и последующих детей (Я2),Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация,    Российская Федерация без учета новых субъектов (с 01.01.2023),4,2025,год,2025,значение показателя за год,,,2025-01-01,2025-12-31,единица,0.36,0.36,22.04.2026,5,15,,False,Российская Федерация,,,2025-12-31,2025-01-01,explicit_year,True,Российская Федерация
1641,Я,Национальный проект «Семья»,2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),data_22,data (22).xls,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),Суммарный коэффициент рождаемости третьих и последующих детей (Я2),Суммарный коэффициент рождаемости третьих и последующих детей (Я2),Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация,    Российская Федерация без учета новых субъектов (с 01.01.2023),4,2026,месяц,2026-03,март,3.0,3.0,2026-03-01,2026-03-31,единица,0.357,0.357,22.04.2026,5,18,,False,Российская Федерация,,,2026-03-31,2026-03-01,latest_partial_year,False,Российская Федерация
3173,Я,Национальный проект «Семья»,2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",data_23,data (23).xls,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)","Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)","Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",Российская Федерация,Российская Федерация,Российская Федерация,0,2025,месяц,2025-12,декабрь,12.0,12.0,2025-12-01,2025-12-31,процент,10.55,10.55,09.04.2026,5,14,,False,Российская Федерация,,,2025-12-31,2025-12-01,december_or_full_cumulative,True,Российская Федерация
3176,Я,Национальный проект «Семья»,2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",data_23,data (23).xls,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)","Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)","Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",Российская Федерация,Российская Федерация,Российская Федерация,0,2026,месяц,2026-03,март,3.0,3.0,2026-03-01,2026-03-31,процент,11.15,11.15,09.04.2026,5,17,,False,Российская Федерация,,,2026-03-31,2026-03-01,latest_partial_year,False,Российская Федерация
