term,count
граждан,313
старшего,244
поколения,243
детей,126
детьми,107
процента,107
семей,106
лет,105
реализации,103
жизни,95
числе,94
населения,94
стратегии,87
семьи,81
возраста,78
человек,74
государственной,71
социальной,71
социального,68
также,68
развития,67
развитие,67
поддержки,65
субъектов,62
программ,60
рождаемости,60
женщин,60
политики,58
организаций,57
повышение,53
помощи,51
государственных,51
системы,49
услуг,48
возрасте,46
доля,45
период,45
здоровья,44
мер,44
условий,43
старше,43
уровня,42
семья,41
субъектах,41
обслуживания,40
учетом,39
мероприятий,38
менее,37
инвалидов,37
демографической,37
защиты,36
социальных,36
правительства,35
поддержка,35
инфраструктуры,35
создание,34
совершенствование,34
реализация,33
обеспечение,33
целях,33
обеспечения,33
труда,32
семейных,31
семьям,31
увеличение,30
семейной,30
рамках,30
культуры,29
образовательных,29
региональных,29
муниципальных,29
качества,29
деятельности,29
формирование,29
направленных,28
сельской,28
ценностей,27
является,27
повышения,27
местности,27
средств,27
укрепление,26
репродуктивного,26
федеральной,26
доступности,26
многодетных,25
рождении,25
меры,25
ребенка,24
бюджеты,24
гражданам,24
сфере,24
службы,24
пенсии,24
образования,23
уровень,23
доли,23
число,23
образа,23
таких,23
организации,23
показателей,22
стратегия,22
программы,22
численности,22
статистики,22
данным,22
показателя,22
реабилитации,22
гражданами,22
которых,21
национальных,21
проектов,21
снижение,21
задачи,21
пенсионного,21
органов,21
включая,21
медицинской,21
заболеваний,21
числа,20
количество,20
фондов,20
распоряжением,20
родителей,20
проживающих,20
заместитель,19
центров,19
продолжительности,19
физической,19
организациях,18
использованием,18
система,18
группы,18
среди,18
власти,18
счет,18
ситуации,18
трудоспособного,18
здорового,18
уровне,18
составила,18
работы,18
населенных,17
ежегодно,17
уходе,17
коэффициент,17
уходу,17
ниже,17
семейного,17
января,17
лиц,17
интересах,17
занятости,17
рост,17
связи,17
расширение,17
активного,17
технологий,17
детства,16
президента,16
традиционных,16
февраля,16
ребенком,16
внебюджетных,16
действий,16
достижения,16
обществе,16
роста,16
имеющих,16
утвержденной,16
области,16
путем,16
внедрение,16
национальной,15
пунктах,15
объектов,15
основе,15
ухода,15
граждане,15
безопасности,15
новых,15
годом,15
одним,15
работников,15
долголетия,15
дому,15
групп,14
улучшение,14
министерством,14
страхования,14
органами,14
прав,14
финансовой,14
численность,14
смертности,14
целевого,14
услуги,14
оказания,14
практик,14
составит,14
материнства,13
ценности,13
социально,13
предоставление,13
мероприятия,13
нуждающихся,13
состоянию,13
территориальных,13
иных,13
основных,13
общества,13
дополнительных,13
сравнению,13
возрастной,13
риска,13
отношении,13
осуществляется,13
информационных,13
транспортной,13
охрана,12
потенциала,12
основные,12
бедности,12
уход,12
общего,12
участия,12
поддержке,12
материнского,12
содействие,12
страны,12
факторов,12
количества,12
беременности,12
социальные,12
результатов,12
старения,12
пенсионеров,12
страховой,12
достижение,11
сохранение,11
человека,11
матери,11
медицинских,11
федеральных,11
суммарный,11
пожилых,11
современных,11
паспорт,11
утв,11
положения,11
первый,11
население,11
целей,11
далее,11
которые,11
разработке,11
семейно,11
который,11
доступность,11
составил,11
вопросам,11
увеличения,11
проживания,11
указанной,11
обучения,11
форм,11
профилактики,11
помощь,11
проведения,11
грамотности,11
которым,11
россии,10
семейные,10
жилищных,10
выплаты,10
указа,10
размере,10
порядка,10
проведение,10
учреждений,10
укреплению,10
это,10
последующих,10
министра,10
женщины,10
многодетности,10
документов,10
детского,10
эффективности,10
концепции,10
годы,10
сельских,10
территорий,10
демографического,10
снижения,10
создания,10
субъектами,10
жилья,10
ожидаемой,10
