,PC1,PC2,PC3,PC4,PC5
data (20).xls | 2.14.Я.1,-0.3049920332024825,0.017812054157652486,0.2531215626154888,0.28598215261984833,0.42226070642726937
data (21).xls | 2.14.Я.2,0.48777000027910844,0.25393527970407576,0.003639554525623289,0.03982560815902178,-0.18137064056043825
data (22).xls | 2.14.Я.3,0.5141451287153787,0.2474743918814346,-0.0373241955277267,-0.07582860855355726,-0.17472773015610896
data (23).xls | 2.14.Я.4,-0.0022280686680454785,-0.10625809444026599,0.5698955794170752,0.20421657171524688,-0.23705030680495479
data (25).xls | 2.14.Я.6,-0.21086945192852846,0.15647059506404284,-0.2212120053123956,0.577325507247541,-0.07332941506482235
data (29).xls | 2.14.Я3.1,-0.13509595632992957,0.3022114462802921,0.5006507439220699,0.16424702908811267,-0.2555693986940721
data (30).xls | 2.14.Я3.2,0.13395787185215424,0.12685722652090348,-0.3491566062080471,0.337835748040515,0.4124912274464701
data (31).xls | 2.14.Я3.3,-0.3651180531267541,0.35239588629182533,-0.19680999520539963,-0.27864400215563484,-0.24241999259489533
data (32).xls | 2.14.Я3.3,-0.34148992801366257,0.46651135629318946,-0.0969297696357124,-0.10650987620824452,-0.1272946815099189
data (33).xls | 2.14.Я3.4,-0.07273893188933442,0.14492094701782773,0.22089450529388352,-0.5396051755579729,0.4782457746104876
data (34).xls | 2.14.Я3.5,0.08252257756089534,0.5492317159364208,-0.0059392191144793565,0.08405299790467576,0.1311319514470349
data (35).xls | 2.14.Я5.2,0.2490402830084996,0.2574576100508917,0.30213688219274965,0.0867953750465457,0.3746331901367012
