region_code,region_name,tile_label,federal_district,tile_x,tile_y,has_tile_polygon,territory_name,indicator_code,indicator_name,source_file,source_title,year,period_type,period_label,period_end,unit,value,last_update,data_mode,has_value,missing_reason
01,Республика Адыгея,АД,Южный федеральный округ,4,9,True,Республика Адыгея (Адыгея),2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,12.9,30.12.2025,complete_year,True,
02,Республика Башкортостан,БА,Приволжский федеральный округ,13,7,True,Республика Башкортостан,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,14.4,30.12.2025,complete_year,True,
03,Республика Бурятия,БУР,Дальневосточный федеральный округ,23,3,True,Республика Бурятия,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,33.8,30.12.2025,complete_year,True,
04,Республика Алтай,АЛР,Сибирский федеральный округ,19,6,True,Республика Алтай,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,25.9,30.12.2025,complete_year,True,
05,Республика Дагестан,ДАГ,Северо-Кавказский федеральный округ,9,12,True,Республика Дагестан,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,51.4,30.12.2025,complete_year,True,
06,Республика Ингушетия,ИНГ,Северо-Кавказский федеральный округ,7,12,True,Республика Ингушетия,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,37.4,30.12.2025,complete_year,True,
07,Кабардино-Балкарская Республика,КБР,Северо-Кавказский федеральный округ,9,11,True,Кабардино-Балкарская Республика,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,18.1,30.12.2025,complete_year,True,
08,Республика Калмыкия,КАЛ,Южный федеральный округ,6,8,True,Республика Калмыкия,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,18.1,30.12.2025,complete_year,True,
09,Карачаево-Черкесская Республика,КЧР,Северо-Кавказский федеральный округ,8,11,True,Карачаево-Черкесская Республика,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,20.1,30.12.2025,complete_year,True,
10,Республика Карелия,КАР,Северо-Западный федеральный округ,1,0,True,Республика Карелия,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,16.5,30.12.2025,complete_year,True,
