region_code,region_name,federal_district,family_project_performance_index,family_project_risk_index,pc1_score,outlier_score,is_outlier_top15pct
87,Чукотский автономный округ,Дальневосточный федеральный округ,100.0,0.0,7.290253987375596,0.6626067832900588,True
77,Москва,Центральный федеральный округ,3.37,96.63,-2.2528947351970836,0.6142010839730293,True
20,Чеченская Республика,Северо-Кавказский федеральный округ,98.88,1.12,6.833509586989998,0.6039090756168276,True
9,Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,74.16,25.84,0.48352385704588347,0.5518585092632172,True
5,Республика Дагестан,Северо-Кавказский федеральный округ,97.75,2.25,4.509708989258438,0.5502317312196418,True
6,Республика Ингушетия,Северо-Кавказский федеральный округ,95.51,4.49,3.629334562204042,0.5441323806425936,True
79,Еврейская автономная область,Дальневосточный федеральный округ,92.13,7.87,1.9694436416638876,0.5358352840354698,True
92,Севастополь,Южный федеральный округ,6.74,93.26,-1.6720369951765994,0.5186328753800139,True
17,Республика Тыва,Сибирский федеральный округ,96.63,3.37,4.214342231826243,0.5178766284584003,True
49,Магаданская область,Дальневосточный федеральный округ,61.8,38.2,-0.09460710614805543,0.4997939451426285,True
41,Камчатский край,Дальневосточный федеральный округ,89.89,10.11,1.5863267462813053,0.4956498656399259,True
83,Ненецкий автономный округ,Северо-Западный федеральный округ,94.38,5.62,2.301732682041379,0.48031556519934265,True
13,Республика Мордовия,Приволжский федеральный округ,1.12,98.88,-2.3403123750971386,0.4745353460200428,True
15,Республика Северная Осетия - Алания,Северо-Кавказский федеральный округ,91.01,8.99,1.8163222767930576,0.4680204017455806,True
57,Орловская область,Центральный федеральный округ,25.84,74.16,-0.9479603675340686,0.46354294523578754,False
46,Курская область,Центральный федеральный округ,42.7,57.3,-0.5556570192646735,0.4571152866254632,False
16,Республика Татарстан,Приволжский федеральный округ,15.73,84.27,-1.1782181315624805,0.45615330360554646,False
44,Костромская область,Центральный федеральный округ,69.66,30.34,0.22168870730826176,0.4540750045075375,False
7,Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,83.15,16.85,1.0507066051873615,0.45320712677084124,False
69,Тверская область,Центральный федеральный округ,84.27,15.73,1.06259561326747,0.44940541131887046,False
36,Воронежская область,Центральный федеральный округ,7.87,92.13,-1.6408284124829795,0.4464952447869404,False
53,Новгородская область,Северо-Западный федеральный округ,65.17,34.83,0.07020829039834965,0.44355385109779305,False
2,Республика Башкортостан,Приволжский федеральный округ,41.57,58.43,-0.565809260274112,0.43599881407318675,False
78,Санкт-Петербург,Северо-Западный федеральный округ,11.24,88.76,-1.5432694756151784,0.434925315494815,False
89,Ямало-Ненецкий автономный округ,Уральский федеральный округ,86.52,13.48,1.2219696290187128,0.4331256200783251,False
71,Тульская область,Центральный федеральный округ,16.85,83.15,-1.1630415983973788,0.42771514766017243,False
38,Иркутская область,Сибирский федеральный округ,87.64,12.36,1.4045209591004757,0.4226772274560113,False
67,Смоленская область,Центральный федеральный округ,37.08,62.92,-0.7383334003204906,0.4199958259547393,False
37,Ивановская область,Центральный федеральный округ,34.83,65.17,-0.7579180860668897,0.4165067982506695,False
