region_code_1,region_name_1,region_code_2,region_name_2
1,Республика Адыгея,23,Краснодарский край
2,Республика Башкортостан,66,Свердловская область
2,Республика Башкортостан,74,Челябинская область
2,Республика Башкортостан,16,Республика Татарстан
2,Республика Башкортостан,18,Удмуртская Республика
2,Республика Башкортостан,56,Оренбургская область
2,Республика Башкортостан,59,Пермский край
3,Республика Бурятия,17,Республика Тыва
3,Республика Бурятия,75,Забайкальский край
3,Республика Бурятия,38,Иркутская область
4,Республика Алтай,17,Республика Тыва
4,Республика Алтай,42,Кемеровская область - Кузбасс
4,Республика Алтай,19,Республика Хакасия
4,Республика Алтай,22,Алтайский край
5,Республика Дагестан,26,Ставропольский край
5,Республика Дагестан,20,Чеченская Республика
5,Республика Дагестан,8,Республика Калмыкия
6,Республика Ингушетия,20,Чеченская Республика
6,Республика Ингушетия,15,Республика Северная Осетия - Алания
7,Кабардино-Балкарская Республика,9,Карачаево-Черкесская Республика
7,Кабардино-Балкарская Республика,26,Ставропольский край
7,Кабардино-Балкарская Республика,15,Республика Северная Осетия - Алания
8,Республика Калмыкия,34,Волгоградская область
8,Республика Калмыкия,26,Ставропольский край
8,Республика Калмыкия,61,Ростовская область
8,Республика Калмыкия,30,Астраханская область
9,Карачаево-Черкесская Республика,26,Ставропольский край
9,Карачаево-Черкесская Республика,23,Краснодарский край
10,Республика Карелия,51,Мурманская область
10,Республика Карелия,35,Вологодская область
10,Республика Карелия,29,Архангельская область
10,Республика Карелия,47,Ленинградская область
11,Республика Коми,66,Свердловская область
11,Республика Коми,43,Кировская область
11,Республика Коми,83,Ненецкий автономный округ
11,Республика Коми,86,Ханты-Мансийский автономный округ - Югра
11,Республика Коми,89,Ямало-Ненецкий автономный округ
11,Республика Коми,59,Пермский край
11,Республика Коми,29,Архангельская область
12,Республика Марий Эл,43,Кировская область
12,Республика Марий Эл,52,Нижегородская область
12,Республика Марий Эл,21,Чувашская Республика - Чувашия
12,Республика Марий Эл,16,Республика Татарстан
13,Республика Мордовия,73,Ульяновская область
13,Республика Мордовия,52,Нижегородская область
13,Республика Мордовия,21,Чувашская Республика - Чувашия
13,Республика Мордовия,58,Пензенская область
13,Республика Мордовия,62,Рязанская область
14,Республика Саха (Якутия),38,Иркутская область
14,Республика Саха (Якутия),75,Забайкальский край
14,Республика Саха (Якутия),49,Магаданская область
14,Республика Саха (Якутия),87,Чукотский автономный округ
14,Республика Саха (Якутия),24,Красноярский край
14,Республика Саха (Якутия),27,Хабаровский край
14,Республика Саха (Якутия),28,Амурская область
15,Республика Северная Осетия - Алания,26,Ставропольский край
16,Республика Татарстан,73,Ульяновская область
16,Республика Татарстан,43,Кировская область
16,Республика Татарстан,18,Удмуртская Республика
16,Республика Татарстан,21,Чувашская Республика - Чувашия
16,Республика Татарстан,56,Оренбургская область
16,Республика Татарстан,63,Самарская область
17,Республика Тыва,38,Иркутская область
17,Республика Тыва,19,Республика Хакасия
17,Республика Тыва,24,Красноярский край
18,Удмуртская Республика,43,Кировская область
18,Удмуртская Республика,59,Пермский край
19,Республика Хакасия,42,Кемеровская область - Кузбасс
19,Республика Хакасия,24,Красноярский край
20,Чеченская Республика,26,Ставропольский край
21,Чувашская Республика - Чувашия,73,Ульяновская область
21,Чувашская Республика - Чувашия,52,Нижегородская область
22,Алтайский край,42,Кемеровская область - Кузбасс
22,Алтайский край,54,Новосибирская область
23,Краснодарский край,91,Республика Крым
23,Краснодарский край,93,Донецкая Народная Республика
23,Краснодарский край,26,Ставропольский край
23,Краснодарский край,61,Ростовская область
24,Красноярский край,70,Томская область
24,Красноярский край,38,Иркутская область
24,Красноярский край,42,Кемеровская область - Кузбасс
24,Красноярский край,86,Ханты-Мансийский автономный округ - Югра
24,Красноярский край,89,Ямало-Ненецкий автономный округ
25,Приморский край,27,Хабаровский край
26,Ставропольский край,61,Ростовская область
27,Хабаровский край,65,Сахалинская область
27,Хабаровский край,79,Еврейская автономная область
27,Хабаровский край,49,Магаданская область
27,Хабаровский край,28,Амурская область
28,Амурская область,75,Забайкальский край
28,Амурская область,79,Еврейская автономная область
29,Архангельская область,35,Вологодская область
29,Архангельская область,43,Кировская область
29,Архангельская область,83,Ненецкий автономный округ
29,Архангельская область,51,Мурманская область
30,Астраханская область,34,Волгоградская область
31,Белгородская область,36,Воронежская область
31,Белгородская область,46,Курская область
31,Белгородская область,94,Луганская Народная Республика
32,Брянская область,57,Орловская область
32,Брянская область,67,Смоленская область
32,Брянская область,46,Курская область
32,Брянская область,40,Калужская область
33,Владимирская область,37,Ивановская область
33,Владимирская область,76,Ярославская область
33,Владимирская область,50,Московская область
33,Владимирская область,52,Нижегородская область
33,Владимирская область,62,Рязанская область
34,Волгоградская область,36,Воронежская область
34,Волгоградская область,61,Ростовская область
34,Волгоградская область,64,Саратовская область
35,Вологодская область,69,Тверская область
35,Вологодская область,43,Кировская область
35,Вологодская область,76,Ярославская область
35,Вологодская область,44,Костромская область
35,Вологодская область,47,Ленинградская область
35,Вологодская область,53,Новгородская область
36,Воронежская область,68,Тамбовская область
36,Воронежская область,46,Курская область
36,Воронежская область,48,Липецкая область
36,Воронежская область,94,Луганская Народная Республика
36,Воронежская область,61,Ростовская область
36,Воронежская область,64,Саратовская область
37,Ивановская область,44,Костромская область
37,Ивановская область,76,Ярославская область
37,Ивановская область,52,Нижегородская область
38,Иркутская область,75,Забайкальский край
39,Калининградская область,87,Чукотский автономный округ
39,Калининградская область,60,Псковская область
39,Калининградская область,78,Санкт-Петербург
39,Калининградская область,47,Ленинградская область
40,Калужская область,67,Смоленская область
40,Калужская область,71,Тульская область
40,Калужская область,77,Москва
40,Калужская область,50,Московская область
40,Калужская область,57,Орловская область
41,Камчатский край,65,Сахалинская область
41,Камчатский край,87,Чукотский автономный округ
41,Камчатский край,49,Магаданская область
42,Кемеровская область - Кузбасс,70,Томская область
42,Кемеровская область - Кузбасс,54,Новосибирская область
43,Кировская область,44,Костромская область
43,Кировская область,52,Нижегородская область
43,Кировская область,59,Пермский край
44,Костромская область,76,Ярославская область
44,Костромская область,52,Нижегородская область
45,Курганская область,66,Свердловская область
45,Курганская область,74,Челябинская область
45,Курганская область,72,Тюменская область
46,Курская область,48,Липецкая область
46,Курская область,57,Орловская область
47,Ленинградская область,78,Санкт-Петербург
47,Ленинградская область,53,Новгородская область
47,Ленинградская область,60,Псковская область
48,Липецкая область,68,Тамбовская область
48,Липецкая область,71,Тульская область
48,Липецкая область,57,Орловская область
48,Липецкая область,62,Рязанская область
49,Магаданская область,87,Чукотский автономный округ
50,Московская область,67,Смоленская область
50,Московская область,69,Тверская область
50,Московская область,71,Тульская область
50,Московская область,76,Ярославская область
50,Московская область,77,Москва
50,Московская область,62,Рязанская область
51,Мурманская область,83,Ненецкий автономный округ
52,Нижегородская область,62,Рязанская область
53,Новгородская область,60,Псковская область
53,Новгородская область,69,Тверская область
54,Новосибирская область,70,Томская область
54,Новосибирская область,55,Омская область
55,Омская область,70,Томская область
55,Омская область,72,Тюменская область
56,Оренбургская область,74,Челябинская область
56,Оренбургская область,63,Самарская область
57,Орловская область,71,Тульская область
58,Пензенская область,68,Тамбовская область
58,Пензенская область,73,Ульяновская область
58,Пензенская область,62,Рязанская область
58,Пензенская область,64,Саратовская область
59,Пермский край,66,Свердловская область
60,Псковская область,67,Смоленская область
60,Псковская область,69,Тверская область
61,Ростовская область,93,Донецкая Народная Республика
61,Ростовская область,94,Луганская Народная Республика
62,Рязанская область,68,Тамбовская область
62,Рязанская область,71,Тульская область
