source_file,indicator_code,indicator_name,source_title,unit,current_year,current_period_label,current_period_type,current_is_full_year,current_value,comparison_target_year,target_value,direction,gap_to_target_positive_good,target_achieved_at_current_point,completion_ratio,baseline_discrepancy_note
data (20).xls,2.14.Я.1,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",процент,2024,значение показателя за год,год,True,19.8,2030.0,12.0,decrease,-7.800000000000001,False,0.6060606060606061,"Расхождение базового значения: паспорт 27.2, ЕМИСС 21.5 (21.0%)"
data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),единица,2025,значение показателя за год,год,True,1.361,2025.0,1.443,increase,-0.08200000000000007,False,0.9431739431739431,
data (22).xls,2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),Суммарный коэффициент рождаемости третьих и последующих детей (Я2),единица,2025,значение показателя за год,год,True,0.36,2025.0,0.399,increase,-0.039000000000000035,False,0.9022556390977443,
data (23).xls,2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)","Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",процент,2025,декабрь,месяц,True,10.55,2025.0,10.5,increase,0.05000000000000071,True,1.0047619047619047,
data (24).xls,2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)","Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",единица,2025,декабрь,месяц,True,41.0,2025.0,40.0,increase,1.0,True,1.025,
data (25).xls,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)","Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",процент,2025,значение показателя за год,год,True,93.6,2025.0,56.5,increase,37.099999999999994,True,1.6566371681415928,
data (26).xls,2.14.Я1.2,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей","Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей(Я1)",процент,2025,значение показателя за год,год,True,98.11,,,,,,,
data (27).xls,2.14.Я1.3,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций","Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",процент,2025,декабрь,месяц,True,0.66,,,,,,,
data (28).xls,2.14.Я2.4,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского","Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",процент,2025,декабрь,месяц,True,56.1,,,,,,,
data (29).xls,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,процент,2025,декабрь,месяц,True,33.46,2030.0,50.0,increase,-16.54,False,0.6692,
data (30).xls,2.14.Я3.2,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах","Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",процент,2025,декабрь,месяц,True,54.32,,,,,,,
data (31).xls,2.14.Я3.3,Младенческая смертность,Младенческая смертность (на 1 тыс. родившихся живыми),"промилле (0,1 процента)",2024,значение показателя за год,год,True,4.0,2030.0,3.9,decrease,-0.10000000000000009,False,0.975,
data (32).xls,2.14.Я3.3,Младенческая смертность,"Младенческая смертность на 1 тыс. родившихся живыми (оперативные данные) (промилле (0,1 процента))","промилле (0,1 процента)",2025,январь-декабрь,накопительно с января,True,3.6,2030.0,3.9,decrease,0.2999999999999998,True,1.0833333333333333,
data (33).xls,2.14.Я3.4,"Доля взятых под диспансерное наблюдение детей в возрасте 0–17 лет с впервые в жизни установленными диагнозами, от общего проведения профилактических медицинских осмотров",Доля взятых под диспансерное наблюдение детей в возрасте 0–17 лет с впервые в жизни установленными диагнозами по результатам проведения профилактических медицинских осмотров,процент,2025,декабрь,месяц,True,91.87,,,,,,,
data (34).xls,2.14.Я3.5,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности","Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших, в том числе услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности",процент,2025,декабрь,месяц,True,28.24,2030.0,26.0,increase,2.2399999999999984,True,1.086153846153846,
data (35).xls,2.14.Я5.2,Увеличение числа посещений организаций культуры по отношению к 2023 году,Увеличение числа посещений организаций культуры по отношению к 2023 году,процент,2025,декабрь,месяц,True,116.7,,,,,,,
