alias_normalized,region_code,region_name
республика адыгея,01,Республика Адыгея
республика адыгея (адыгея),01,Республика Адыгея
республика башкортостан,02,Республика Башкортостан
республика бурятия,03,Республика Бурятия
алтай республика,04,Республика Алтай
республика алтай,04,Республика Алтай
республика дагестан,05,Республика Дагестан
республика ингушетия,06,Республика Ингушетия
кабардино-балкарская республика,07,Кабардино-Балкарская Республика
республика калмыкия,08,Республика Калмыкия
карачаево-черкесская республика,09,Карачаево-Черкесская Республика
республика карелия,10,Республика Карелия
республика коми,11,Республика Коми
республика марий эл,12,Республика Марий Эл
республика мордовия,13,Республика Мордовия
республика саха (якутия),14,Республика Саха (Якутия)
республика северная осетия - алания,15,Республика Северная Осетия - Алания
республика северная осетия – алания,15,Республика Северная Осетия - Алания
республика северная осетия-алания,15,Республика Северная Осетия - Алания
республика татарстан,16,Республика Татарстан
республика татарстан (татарстан),16,Республика Татарстан
республика тыва,17,Республика Тыва
удмуртская республика,18,Удмуртская Республика
республика хакасия,19,Республика Хакасия
чеченская республика,20,Чеченская Республика
чувашская республика,21,Чувашская Республика - Чувашия
чувашская республика - чувашия,21,Чувашская Республика - Чувашия
алтайский край,22,Алтайский край
краснодарский край,23,Краснодарский край
красноярский край,24,Красноярский край
приморский край,25,Приморский край
ставропольский край,26,Ставропольский край
хабаровский край,27,Хабаровский край
амурская область,28,Амурская область
архангельская область,29,Архангельская область
архангельская область (кроме ненецкого автономного округа),29,Архангельская область
архангельская область без ненецкого автономного округа,29,Архангельская область
астраханская область,30,Астраханская область
белгородская область,31,Белгородская область
брянская область,32,Брянская область
владимирская область,33,Владимирская область
волгоградская область,34,Волгоградская область
вологодская область,35,Вологодская область
воронежская область,36,Воронежская область
ивановская область,37,Ивановская область
иркутская область,38,Иркутская область
калининградская область,39,Калининградская область
калужская область,40,Калужская область
камчатский край,41,Камчатский край
кемеровская область,42,Кемеровская область - Кузбасс
кемеровская область - кузбасс,42,Кемеровская область - Кузбасс
кировская область,43,Кировская область
костромская область,44,Костромская область
курганская область,45,Курганская область
курская область,46,Курская область
ленинградская область,47,Ленинградская область
липецкая область,48,Липецкая область
магаданская область,49,Магаданская область
московская область,50,Московская область
мурманская область,51,Мурманская область
нижегородская область,52,Нижегородская область
новгородская область,53,Новгородская область
новосибирская область,54,Новосибирская область
омская область,55,Омская область
оренбургская область,56,Оренбургская область
орловская область,57,Орловская область
пензенская область,58,Пензенская область
пермский край,59,Пермский край
псковская область,60,Псковская область
ростовская область,61,Ростовская область
рязанская область,62,Рязанская область
самарская область,63,Самарская область
саратовская область,64,Саратовская область
сахалинская область,65,Сахалинская область
свердловская область,66,Свердловская область
смоленская область,67,Смоленская область
тамбовская область,68,Тамбовская область
тверская область,69,Тверская область
томская область,70,Томская область
тульская область,71,Тульская область
тюменская область,72,Тюменская область
тюменская область (кроме ханты-мансийского автономного округа-югры и ямало-ненецкого автономного округа),72,Тюменская область
тюменская область без автономных округов,72,Тюменская область
ульяновская область,73,Ульяновская область
челябинская область,74,Челябинская область
забайкальский край,75,Забайкальский край
ярославская область,76,Ярославская область
г. москва,77,Москва
город москва,77,Москва
город москва столица российской федерации город федерального значения,77,Москва
москва,77,Москва
г. санкт-петербург,78,Санкт-Петербург
город санкт-петербург город федерального значения,78,Санкт-Петербург
город федерального значения санкт-петербург,78,Санкт-Петербург
санкт-петербург,78,Санкт-Петербург
еврейская автономная область,79,Еврейская автономная область
ненецкий автономный округ,83,Ненецкий автономный округ
ненецкий автономный округ (архангельская область),83,Ненецкий автономный округ
ханты-мансийский автономный округ - югра,86,Ханты-Мансийский автономный округ - Югра
ханты-мансийский автономный округ - югра (тюменская область),86,Ханты-Мансийский автономный округ - Югра
чукотский автономный округ,87,Чукотский автономный округ
ямало-ненецкий автономный округ,89,Ямало-Ненецкий автономный округ
ямало-ненецкий автономный округ (тюменская область),89,Ямало-Ненецкий автономный округ
запорожская область,90,Запорожская область
республика крым,91,Республика Крым
г. севастополь,92,Севастополь
город федерального значения севастополь,92,Севастополь
севастополь,92,Севастополь
донецкая народная республика,93,Донецкая Народная Республика
луганская народная республика,94,Луганская Народная Республика
херсонская область,95,Херсонская область
