Территория,Пол,Год,e0,Статус
Алтайский край,Женщины,1990,74.1,наблюдение
Алтайский край,Женщины,1991,73.7,наблюдение
Алтайский край,Женщины,1992,73.7,наблюдение
Алтайский край,Женщины,1993,71.4,наблюдение
Алтайский край,Женщины,1994,70.8,наблюдение
Алтайский край,Женщины,1995,71.2,наблюдение
Алтайский край,Женщины,1996,72.0,наблюдение
Алтайский край,Женщины,1997,72.5,наблюдение
Алтайский край,Женщины,1998,73.7,наблюдение
Алтайский край,Женщины,1999,72.9,наблюдение
Алтайский край,Женщины,2000,73.1,наблюдение
Алтайский край,Женщины,2001,72.7,наблюдение
Алтайский край,Женщины,2002,72.3,наблюдение
Алтайский край,Женщины,2003,72.4,наблюдение
Алтайский край,Женщины,2004,72.3,наблюдение
Алтайский край,Женщины,2005,71.7,наблюдение
Алтайский край,Женщины,2006,73.2,наблюдение
Алтайский край,Женщины,2007,73.6,наблюдение
Алтайский край,Женщины,2008,73.7,наблюдение
Алтайский край,Женщины,2009,74.4,наблюдение
Алтайский край,Женщины,2010,74.2,наблюдение
Алтайский край,Женщины,2011,74.71,наблюдение
Алтайский край,Женщины,2012,74.71,наблюдение
Алтайский край,Женщины,2013,75.31,наблюдение
Алтайский край,Женщины,2014,75.54,наблюдение
Алтайский край,Женщины,2015,75.6,наблюдение
Алтайский край,Женщины,2016,76.03,наблюдение
Алтайский край,Женщины,2017,76.01,наблюдение
Алтайский край,Женщины,2018,75.96,наблюдение
Алтайский край,Женщины,2019,76.23,наблюдение
Алтайский край,Женщины,2020,74.56,наблюдение
Алтайский край,Женщины,2021,72.46,наблюдение
Алтайский край,Женщины,2022,75.8,наблюдение
Алтайский край,Женщины,2023,77.08,наблюдение
Алтайский край,Женщины,2024,77.36,прогноз
Алтайский край,Женщины,2025,77.63,прогноз
Алтайский край,Женщины,2026,77.89,прогноз
Алтайский край,Женщины,2027,78.15,прогноз
Алтайский край,Женщины,2028,78.41,прогноз
Алтайский край,Женщины,2029,78.66,прогноз
Алтайский край,Женщины,2030,78.91,прогноз
Алтайский край,Женщины,2031,79.15,прогноз
Алтайский край,Женщины,2032,79.39,прогноз
Алтайский край,Женщины,2033,79.62,прогноз
Алтайский край,Женщины,2034,79.85,прогноз
Алтайский край,Женщины,2035,80.08,прогноз
Алтайский край,Женщины,2036,80.3,прогноз
Алтайский край,Женщины,2037,80.51,прогноз
Алтайский край,Женщины,2038,80.72,прогноз
Алтайский край,Женщины,2039,80.93,прогноз
Алтайский край,Женщины,2040,81.14,прогноз
Алтайский край,Женщины,2041,81.34,прогноз
Алтайский край,Женщины,2042,81.54,прогноз
Алтайский край,Женщины,2043,81.73,прогноз
Алтайский край,Женщины,2044,81.92,прогноз
Алтайский край,Женщины,2045,82.11,прогноз
Алтайский край,Женщины,2046,82.29,прогноз
Алтайский край,Женщины,2047,82.47,прогноз
Алтайский край,Женщины,2048,82.65,прогноз
Алтайский край,Женщины,2049,82.82,прогноз
Алтайский край,Женщины,2050,82.99,прогноз
Алтайский край,Женщины,2051,83.15,прогноз
Алтайский край,Женщины,2052,83.32,прогноз
Алтайский край,Женщины,2053,83.48,прогноз
Алтайский край,Женщины,2054,83.64,прогноз
Алтайский край,Женщины,2055,83.79,прогноз
Алтайский край,Женщины,2056,83.94,прогноз
Алтайский край,Женщины,2057,84.09,прогноз
Алтайский край,Женщины,2058,84.24,прогноз
Алтайский край,Женщины,2059,84.38,прогноз
Алтайский край,Женщины,2060,84.52,прогноз
Алтайский край,Женщины,2061,84.66,прогноз
Алтайский край,Женщины,2062,84.8,прогноз
Алтайский край,Женщины,2063,84.93,прогноз
Алтайский край,Женщины,2064,85.06,прогноз
Алтайский край,Женщины,2065,85.19,прогноз
Алтайский край,Женщины,2066,85.32,прогноз
Алтайский край,Женщины,2067,85.44,прогноз
Алтайский край,Женщины,2068,85.56,прогноз
Алтайский край,Женщины,2069,85.68,прогноз
Алтайский край,Женщины,2070,85.8,прогноз
Алтайский край,Женщины,2071,85.91,прогноз
Алтайский край,Женщины,2072,86.02,прогноз
Алтайский край,Женщины,2073,86.13,прогноз
Алтайский край,Женщины,2074,86.24,прогноз
Алтайский край,Женщины,2075,86.35,прогноз
Алтайский край,Женщины,2076,86.45,прогноз
Алтайский край,Женщины,2077,86.56,прогноз
Алтайский край,Женщины,2078,86.66,прогноз
Алтайский край,Женщины,2079,86.76,прогноз
Алтайский край,Женщины,2080,86.85,прогноз
Алтайский край,Женщины,2081,86.95,прогноз
Алтайский край,Женщины,2082,87.04,прогноз
Алтайский край,Женщины,2083,87.13,прогноз
Алтайский край,Женщины,2084,87.22,прогноз
Алтайский край,Женщины,2085,87.31,прогноз
Алтайский край,Женщины,2086,87.4,прогноз
Алтайский край,Женщины,2087,87.48,прогноз
Алтайский край,Женщины,2088,87.57,прогноз
Алтайский край,Женщины,2089,87.65,прогноз
Алтайский край,Женщины,2090,87.73,прогноз
Алтайский край,Женщины,2091,87.81,прогноз
Алтайский край,Женщины,2092,87.89,прогноз
Алтайский край,Женщины,2093,87.96,прогноз
Алтайский край,Женщины,2094,88.04,прогноз
Алтайский край,Женщины,2095,88.11,прогноз
Алтайский край,Женщины,2096,88.18,прогноз
Алтайский край,Женщины,2097,88.25,прогноз
Алтайский край,Женщины,2098,88.32,прогноз
Алтайский край,Женщины,2099,88.39,прогноз
Алтайский край,Женщины,2100,88.46,прогноз
Алтайский край,Мужчины,1990,63.5,наблюдение
Алтайский край,Мужчины,1991,63.0,наблюдение
Алтайский край,Мужчины,1992,61.9,наблюдение
Алтайский край,Мужчины,1993,59.0,наблюдение
Алтайский край,Мужчины,1994,57.9,наблюдение
Алтайский край,Мужчины,1995,58.1,наблюдение
Алтайский край,Мужчины,1996,59.2,наблюдение
Алтайский край,Мужчины,1997,60.0,наблюдение
Алтайский край,Мужчины,1998,62.1,наблюдение
Алтайский край,Мужчины,1999,61.0,наблюдение
Алтайский край,Мужчины,2000,60.5,наблюдение
Алтайский край,Мужчины,2001,60.3,наблюдение
Алтайский край,Мужчины,2002,59.4,наблюдение
Алтайский край,Мужчины,2003,59.5,наблюдение
Алтайский край,Мужчины,2004,59.2,наблюдение
Алтайский край,Мужчины,2005,58.3,наблюдение
Алтайский край,Мужчины,2006,60.3,наблюдение
Алтайский край,Мужчины,2007,60.9,наблюдение
Алтайский край,Мужчины,2008,61.3,наблюдение
Алтайский край,Мужчины,2009,62.5,наблюдение
Алтайский край,Мужчины,2010,62.7,наблюдение
Алтайский край,Мужчины,2011,63.25,наблюдение
Алтайский край,Мужчины,2012,63.37,наблюдение
Алтайский край,Мужчины,2013,63.9,наблюдение
Алтайский край,Мужчины,2014,64.04,наблюдение
Алтайский край,Мужчины,2015,64.58,наблюдение
Алтайский край,Мужчины,2016,64.64,наблюдение
Алтайский край,Мужчины,2017,65.12,наблюдение
Алтайский край,Мужчины,2018,65.02,наблюдение
Алтайский край,Мужчины,2019,65.48,наблюдение
Алтайский край,Мужчины,2020,64.31,наблюдение
Алтайский край,Мужчины,2021,63.08,наблюдение
Алтайский край,Мужчины,2022,64.13,наблюдение
Алтайский край,Мужчины,2023,64.5,наблюдение
Алтайский край,Мужчины,2024,64.94,прогноз
Алтайский край,Мужчины,2025,65.37,прогноз
Алтайский край,Мужчины,2026,65.8,прогноз
Алтайский край,Мужчины,2027,66.21,прогноз
Алтайский край,Мужчины,2028,66.62,прогноз
Алтайский край,Мужчины,2029,67.02,прогноз
Алтайский край,Мужчины,2030,67.42,прогноз
Алтайский край,Мужчины,2031,67.8,прогноз
Алтайский край,Мужчины,2032,68.18,прогноз
Алтайский край,Мужчины,2033,68.55,прогноз
Алтайский край,Мужчины,2034,68.92,прогноз
Алтайский край,Мужчины,2035,69.28,прогноз
Алтайский край,Мужчины,2036,69.63,прогноз
Алтайский край,Мужчины,2037,69.97,прогноз
Алтайский край,Мужчины,2038,70.31,прогноз
Алтайский край,Мужчины,2039,70.64,прогноз
Алтайский край,Мужчины,2040,70.97,прогноз
Алтайский край,Мужчины,2041,71.29,прогноз
