Территория,Пол,Год,Прибыл,Выбыл,Сальдо,Статус
Алтайский край,Всего,2017,72885,80944,-8059,наблюдение
Алтайский край,Всего,2018,79408,86819,-7411,наблюдение
Алтайский край,Всего,2019,79649,83800,-4151,наблюдение
Алтайский край,Всего,2020,65449,67865,-2416,наблюдение
Алтайский край,Всего,2021,66800,70313,-3513,наблюдение
Алтайский край,Всего,2022,63552,71332,-7780,наблюдение
Алтайский край,Всего,2023,60153,61863,-1710,наблюдение
Алтайский край,Всего,2024,78720,84309,-5589,прогноз
Алтайский край,Всего,2025,78976,86219,-7243,прогноз
Алтайский край,Всего,2026,82879,90599,-7720,прогноз
Алтайский край,Всего,2027,83718,90483,-6765,прогноз
Алтайский край,Всего,2028,84741,90182,-5441,прогноз
Алтайский край,Всего,2029,84550,91095,-6545,прогноз
Алтайский край,Всего,2030,83901,92467,-8566,прогноз
Алтайский край,Всего,2031,85236,91853,-6617,прогноз
Алтайский край,Всего,2032,86534,91277,-4743,прогноз
Алтайский край,Всего,2033,85571,92962,-7391,прогноз
Алтайский край,Всего,2034,85418,93837,-8419,прогноз
Алтайский край,Всего,2035,87029,92948,-5919,прогноз
Алтайский край,Всего,2036,87555,93144,-5589,прогноз
Алтайский край,Всего,2037,87089,94332,-7243,прогноз
Алтайский край,Всего,2038,87211,94931,-7720,прогноз
Алтайский край,Всего,2039,88050,94815,-6765,прогноз
Алтайский край,Всего,2040,89073,94515,-5442,прогноз
Алтайский край,Всего,2041,88882,95427,-6545,прогноз
Алтайский край,Всего,2042,88233,96799,-8566,прогноз
Алтайский край,Всего,2043,89569,96186,-6617,прогноз
Алтайский край,Всего,2044,90866,95609,-4743,прогноз
Алтайский край,Всего,2045,89904,97294,-7390,прогноз
Алтайский край,Всего,2046,89750,98169,-8419,прогноз
Алтайский край,Всего,2047,91362,97280,-5918,прогноз
Алтайский край,Всего,2048,91887,97476,-5589,прогноз
Алтайский край,Всего,2049,91421,98664,-7243,прогноз
Алтайский край,Всего,2050,91544,99264,-7720,прогноз
Алтайский край,Всего,2051,92382,99147,-6765,прогноз
Алтайский край,Всего,2052,93405,98847,-5442,прогноз
Алтайский край,Всего,2053,93214,99759,-6545,прогноз
Алтайский край,Всего,2054,92564,101132,-8568,прогноз
Алтайский край,Всего,2055,93900,100518,-6618,прогноз
Алтайский край,Всего,2056,95198,99941,-4743,прогноз
Алтайский край,Всего,2057,94235,101626,-7391,прогноз
Алтайский край,Всего,2058,94083,102502,-8419,прогноз
Алтайский край,Всего,2059,95694,101612,-5918,прогноз
Алтайский край,Всего,2060,96220,101808,-5588,прогноз
Алтайский край,Всего,2061,95753,102996,-7243,прогноз
Алтайский край,Всего,2062,95876,103596,-7720,прогноз
Алтайский край,Всего,2063,96714,103479,-6765,прогноз
Алтайский край,Всего,2064,97737,103179,-5442,прогноз
Алтайский край,Всего,2065,97547,104092,-6545,прогноз
Алтайский край,Всего,2066,96896,105463,-8567,прогноз
Алтайский край,Всего,2067,98232,104850,-6618,прогноз
Алтайский край,Всего,2068,99530,104273,-4743,прогноз
Алтайский край,Всего,2069,98567,105959,-7392,прогноз
Алтайский край,Всего,2070,98415,106834,-8419,прогноз
Алтайский край,Всего,2071,100026,105944,-5918,прогноз
Алтайский край,Всего,2072,100552,106140,-5588,прогноз
Алтайский край,Всего,2073,100086,107329,-7243,прогноз
Алтайский край,Всего,2074,100208,107928,-7720,прогноз
Алтайский край,Всего,2075,101047,107811,-6764,прогноз
Алтайский край,Всего,2076,102069,107511,-5442,прогноз
Алтайский край,Всего,2077,101879,108424,-6545,прогноз
Алтайский край,Всего,2078,101228,109795,-8567,прогноз
Алтайский край,Всего,2079,102564,109182,-6618,прогноз
Алтайский край,Всего,2080,103863,108606,-4743,прогноз
Алтайский край,Всего,2081,102899,110291,-7392,прогноз
Алтайский край,Всего,2082,102747,111166,-8419,прогноз
Алтайский край,Всего,2083,104358,110277,-5919,прогноз
Алтайский край,Всего,2084,104883,110473,-5590,прогноз
Алтайский край,Всего,2085,104418,111661,-7243,прогноз
Алтайский край,Всего,2086,104540,112260,-7720,прогноз
Алтайский край,Всего,2087,105379,112143,-6764,прогноз
Алтайский край,Всего,2088,106402,111843,-5441,прогноз
Алтайский край,Всего,2089,106211,112755,-6544,прогноз
Алтайский край,Всего,2090,105561,114127,-8566,прогноз
Алтайский край,Всего,2091,106896,113513,-6617,прогноз
Алтайский край,Всего,2092,108195,112938,-4743,прогноз
Алтайский край,Всего,2093,107231,114623,-7392,прогноз
Алтайский край,Всего,2094,107079,115498,-8419,прогноз
Алтайский край,Всего,2095,108691,114609,-5918,прогноз
Алтайский край,Всего,2096,109215,114805,-5590,прогноз
Алтайский край,Всего,2097,108750,115993,-7243,прогноз
Алтайский край,Всего,2098,108872,116593,-7721,прогноз
Алтайский край,Всего,2099,109711,116476,-6765,прогноз
Алтайский край,Всего,2100,110734,116175,-5441,прогноз
Алтайский край,Женщины,2017,35870,40512,-4642,наблюдение
Алтайский край,Женщины,2018,39147,43561,-4414,наблюдение
Алтайский край,Женщины,2019,39395,41794,-2399,наблюдение
Алтайский край,Женщины,2020,33061,34559,-1498,наблюдение
Алтайский край,Женщины,2021,33809,36424,-2615,наблюдение
Алтайский край,Женщины,2022,32503,36004,-3501,наблюдение
Алтайский край,Женщины,2023,30769,32008,-1239,наблюдение
Алтайский край,Женщины,2024,39594,44150,-4556,прогноз
Алтайский край,Женщины,2025,40311,44720,-4409,прогноз
Алтайский край,Женщины,2026,40842,44552,-3710,прогноз
Алтайский край,Женщины,2027,40601,45157,-4556,прогноз
Алтайский край,Женщины,2028,40857,45265,-4408,прогноз
Алтайский край,Женщины,2029,41388,45098,-3710,прогноз
Алтайский край,Женщины,2030,41147,45703,-4556,прогноз
Алтайский край,Женщины,2031,41402,45811,-4409,прогноз
Алтайский край,Женщины,2032,41934,45644,-3710,прогноз
Алтайский край,Женщины,2033,41692,46249,-4557,прогноз
Алтайский край,Женщины,2034,41948,46357,-4409,прогноз
Алтайский край,Женщины,2035,42479,46190,-3711,прогноз
Алтайский край,Женщины,2036,42238,46795,-4557,прогноз
Алтайский край,Женщины,2037,42494,46903,-4409,прогноз
Алтайский край,Женщины,2038,43025,46735,-3710,прогноз
Алтайский край,Женщины,2039,42784,47341,-4557,прогноз
Алтайский край,Женщины,2040,43040,47449,-4409,прогноз
Алтайский край,Женщины,2041,43571,47281,-3710,прогноз
Алтайский край,Женщины,2042,43330,47886,-4556,прогноз
Алтайский край,Женщины,2043,43586,47995,-4409,прогноз
Алтайский край,Женщины,2044,44117,47827,-3710,прогноз
Алтайский край,Женщины,2045,43876,48432,-4556,прогноз
Алтайский край,Женщины,2046,44131,48540,-4409,прогноз
Алтайский край,Женщины,2047,44663,48373,-3710,прогноз
Алтайский край,Женщины,2048,44421,48978,-4557,прогноз
Алтайский край,Женщины,2049,44677,49086,-4409,прогноз
Алтайский край,Женщины,2050,45209,48919,-3710,прогноз
Алтайский край,Женщины,2051,44967,49524,-4557,прогноз
Алтайский край,Женщины,2052,45223,49632,-4409,прогноз
Алтайский край,Женщины,2053,45754,49464,-3710,прогноз
Алтайский край,Женщины,2054,45513,50070,-4557,прогноз
Алтайский край,Женщины,2055,45769,50178,-4409,прогноз
Алтайский край,Женщины,2056,46300,50010,-3710,прогноз
Алтайский край,Женщины,2057,46059,50615,-4556,прогноз
Алтайский край,Женщины,2058,46315,50724,-4409,прогноз
Алтайский край,Женщины,2059,46846,50556,-3710,прогноз
Алтайский край,Женщины,2060,46605,51161,-4556,прогноз
Алтайский край,Женщины,2061,46860,51269,-4409,прогноз
Алтайский край,Женщины,2062,47392,51102,-3710,прогноз
Алтайский край,Женщины,2063,47150,51707,-4557,прогноз
Алтайский край,Женщины,2064,47406,51815,-4409,прогноз
Алтайский край,Женщины,2065,47938,51648,-3710,прогноз
Алтайский край,Женщины,2066,47696,52253,-4557,прогноз
Алтайский край,Женщины,2067,47952,52361,-4409,прогноз
Алтайский край,Женщины,2068,48483,52193,-3710,прогноз
Алтайский край,Женщины,2069,48242,52799,-4557,прогноз
Алтайский край,Женщины,2070,48498,52907,-4409,прогноз
Алтайский край,Женщины,2071,49029,52739,-3710,прогноз
Алтайский край,Женщины,2072,48788,53344,-4556,прогноз
Алтайский край,Женщины,2073,49044,53453,-4409,прогноз
Алтайский край,Женщины,2074,49575,53285,-3710,прогноз
Алтайский край,Женщины,2075,49334,53890,-4556,прогноз
Алтайский край,Женщины,2076,49589,53998,-4409,прогноз
Алтайский край,Женщины,2077,50121,53831,-3710,прогноз
Алтайский край,Женщины,2078,49879,54436,-4557,прогноз
Алтайский край,Женщины,2079,50135,54544,-4409,прогноз
Алтайский край,Женщины,2080,50667,54377,-3710,прогноз
Алтайский край,Женщины,2081,50425,54982,-4557,прогноз
Алтайский край,Женщины,2082,50681,55090,-4409,прогноз
