source_file,indicator_code,indicator_name,source_title,n_records,n_numeric_values,n_non_numeric_markers,n_territories,territory_scope,period_types,period_min,period_max,last_update
data (20).xls,2.14.Я.1,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",89,89,0,87,Российская Федерация; субъект РФ,год,2021-01-01,2024-12-31,30.12.2025
data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1536,1536,0,96,Российская Федерация; субъект РФ; федеральный округ,год; месяц,2025-01-01,2026-03-31,22.04.2026
data (22).xls,2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),Суммарный коэффициент рождаемости третьих и последующих детей (Я2),1536,1536,0,96,Российская Федерация; субъект РФ; федеральный округ,год; месяц,2025-01-01,2026-03-31,22.04.2026
data (23).xls,2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)","Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",1350,1350,0,90,Российская Федерация; субъект РФ,месяц,2025-01-01,2026-03-31,09.04.2026
data (24).xls,2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)","Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",15,15,0,1,Российская Федерация,месяц,2025-01-01,2026-03-31,02.04.2026
data (25).xls,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)","Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",1376,1376,0,86,Российская Федерация; субъект РФ,год; месяц,2025-01-01,2026-03-31,02.04.2026
data (26).xls,2.14.Я1.2,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей","Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей(Я1)",16,16,0,1,Российская Федерация,год; месяц,2025-01-01,2026-03-31,02.04.2026
data (27).xls,2.14.Я1.3,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций","Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",15,15,0,1,Российская Федерация,месяц,2025-01-01,2026-03-31,08.04.2026
data (28).xls,2.14.Я2.4,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского","Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",15,15,0,1,Российская Федерация,месяц,2025-01-01,2026-03-31,09.04.2026
data (29).xls,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,1290,1290,0,86,Российская Федерация; субъект РФ,месяц,2025-01-01,2026-03-31,07.04.2026
