observation_id,project_code,project_name,indicator_code,indicator_name,source_table_id,source_file,source_variant_title,source_title,passport_title,territory_name,territory_type,territory_raw,territory_indent_spaces,year,period_type,period_code,period_label,month_start,month_end,period_start,period_end,unit,value,value_raw,last_update,row_number_excel,column_number_excel,region_code,is_subject_89,territory_canonical_status,region_name,federal_district,period_end_dt,period_start_dt,annualized_method,is_full_year,territory_scope_norm
72,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Алтайский край,субъект РФ,Алтайский край,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,24.1,24.1,30.12.2025,73,5,22,True,mapped_to_89,Алтайский край,Сибирский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
85,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Амурская область,субъект РФ,Амурская область,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,24.7,24.7,30.12.2025,86,5,28,True,mapped_to_89,Амурская область,Дальневосточный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
26,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Архангельская область (кроме Ненецкого автономного округа),субъект РФ,            Архангельская область (кроме Ненецкого автономного округа),12,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,13.6,13.6,30.12.2025,27,5,29,True,mapped_to_89,Архангельская область,Северо-Западный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
38,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Астраханская область,субъект РФ,        Астраханская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,13.6,13.6,30.12.2025,39,5,30,True,mapped_to_89,Астраханская область,Южный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
5,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Белгородская область,субъект РФ,        Белгородская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,12.8,12.8,30.12.2025,6,5,31,True,mapped_to_89,Белгородская область,Центральный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
6,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Брянская область,субъект РФ,        Брянская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,21.9,21.9,30.12.2025,7,5,32,True,mapped_to_89,Брянская область,Центральный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
7,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Владимирская область,субъект РФ,        Владимирская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,16.3,16.3,30.12.2025,8,5,33,True,mapped_to_89,Владимирская область,Центральный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
39,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Волгоградская область,субъект РФ,        Волгоградская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,19.1,19.1,30.12.2025,40,5,34,True,mapped_to_89,Волгоградская область,Южный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
27,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Вологодская область,субъект РФ,        Вологодская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,11.4,11.4,30.12.2025,28,5,35,True,mapped_to_89,Вологодская область,Северо-Западный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
8,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Воронежская область,субъект РФ,        Воронежская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,7.9,7.9,30.12.2025,9,5,36,True,mapped_to_89,Воронежская область,Центральный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
