federal_project,total_2025_2030_thousand_rub,year,amount_thousand_rub,amount_billion_rub
Поддержка семьи,18343382140.31,2025,2924749802.14,2924.7498021399997
Многодетная семья,1120011940.32,2025,158253831.7,158.25383169999998
Охрана материнства и детства,212601278.2,2025,35876995.5,35.8769955
Старшее поколение,361608500.57,2025,34621261.94,34.62126194
Семейные ценности и инфраструктура культуры,411447124.35,2025,42157187.81,42.15718781
Поддержка семьи,18343382140.31,2026,2962168102.68,2962.1681026799997
Многодетная семья,1120011940.32,2026,168067474.96,168.06747496
Охрана материнства и детства,212601278.2,2026,35989850.0,35.98985
Старшее поколение,361608500.57,2026,43714999.33,43.71499933
Семейные ценности и инфраструктура культуры,411447124.35,2026,67413284.21,67.41328421
Поддержка семьи,18343382140.31,2027,2942381179.83,2942.38117983
Многодетная семья,1120011940.32,2027,175954869.3,175.9548693
Охрана материнства и детства,212601278.2,2027,36394968.9,36.394968899999995
Старшее поколение,361608500.57,2027,45141804.6,45.1418046
Семейные ценности и инфраструктура культуры,411447124.35,2027,72764209.43,72.76420943000001
Поддержка семьи,18343382140.31,2028,3063187466.09,3063.1874660900003
Многодетная семья,1120011940.32,2028,192647592.12,192.64759212
Охрана материнства и детства,212601278.2,2028,56983560.4,56.9835604
Старшее поколение,361608500.57,2028,68869565.2,68.8695652
Семейные ценности и инфраструктура культуры,411447124.35,2028,75722523.8,75.72252379999999
Поддержка семьи,18343382140.31,2029,3172582268.69,3172.58226869
Многодетная семья,1120011940.32,2029,207631686.12,207.63168612
Охрана материнства и детства,212601278.2,2029,35981269.0,35.981269
Старшее поколение,361608500.57,2029,80826086.9,80.8260869
Семейные ценности и инфраструктура культуры,411447124.35,2029,75672523.8,75.6725238
Поддержка семьи,18343382140.31,2030,3278313320.88,3278.31332088
Многодетная семья,1120011940.32,2030,217456486.12,217.45648612
Охрана материнства и детства,212601278.2,2030,11374634.4,11.3746344
Старшее поколение,361608500.57,2030,88434782.6,88.43478259999999
Семейные ценности и инфраструктура культуры,411447124.35,2030,77717395.3,77.71739529999999
