indicator_code,indicator_name,coverage_status,n_activities,activities
2.14.Я.1,Уровень бедности среди многодетных семей,представлен в переданном архиве,7,A02; A03; A04; A05; A09; A10; A11
2.14.Я.2,Суммарный коэффициент рождаемости (Я1),представлен в переданном архиве,11,A01; A02; A04; A06; A07; A08; A11; A12; A13; A14; A17
2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),представлен в переданном архиве,5,A02; A04; A08; A10; A11
2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",представлен в переданном архиве,4,A19; A20; A22; A23
2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",представлен в переданном архиве,1,A26
2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",представлен в переданном архиве,5,A24; A25; A26; A27; A31
2.14.Я1.1,Доля получателей ежегодной семейной выплаты от общего числа трудоспособного населения,не представлен в ЕМИСС по пользовательскому перечню,1,A05
2.14.Я1.2,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей",представлен в переданном архиве,1,A03
2.14.Я1.3,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",представлен в переданном архиве,2,A06; A07
2.14.Я1.4,"Доля образовательных организаций высшего образования, на базе которых созданы комнаты матери и ребенка и (или) группы кратковременного пребывания детей, из числа образовательных организаций, испытывающих в них потребность","ожидался в ЕМИСС по пользовательскому перечню, но отсутствует в переданном архиве",1,A01
2.14.Я1.5,"Доля молодых студенческих семей и матерей (отцов) с детьми, получивших поддержку образовательных организаций высшего образования от числа всех молодых студенческих семей и матерей (отцов) с детьми, обучающихся в вузах","ожидался в ЕМИСС по пользовательскому перечню, но отсутствует в переданном архиве",1,A01
2.14.Я2.1,"Доля граждан, охваченных государственной социальной помощью на основании социального контракта, в общей численности малоимущих граждан",не представлен в ЕМИСС по пользовательскому перечню,1,A09
2.14.Я2.2,Доля обучающихся 1-4 классов в группах продленного дня,"противоречие в пользовательском перечне: счетчик 0, но название таблицы ЕМИСС приведено; в архиве отсутствует",1,A12
2.14.Я2.3,Темп прироста числа многодетных семей,не представлен в ЕМИСС по пользовательскому перечню,1,A10
2.14.Я2.4,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",представлен в переданном архиве,1,A08
2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,представлен в переданном архиве,3,A13; A17; A18
2.14.Я3.2,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",представлен в переданном архиве,3,A13; A14; A18
2.14.Я3.3,Младенческая смертность,представлен в переданном архиве,4,A14; A15; A16; A18
2.14.Я3.4,"Доля взятых под диспансерное наблюдение детей в возрасте 0–17 лет с впервые в жизни установленными диагнозами, от общего проведения профилактических медицинских осмотров",представлен в переданном архиве,3,A15; A16; A18
2.14.Я3.5,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности",представлен в переданном архиве,2,A13; A18
2.14.Я4.1,"Доля граждан старшего поколения, вовлеченных в региональные программы «Активное долголетие»",не представлен в ЕМИСС по пользовательскому перечню,2,A20; A21
2.14.Я5.1,"Доля граждан, считающих семью главной ценностью",не представлен в ЕМИСС по пользовательскому перечню,3,A28; A29; A30
2.14.Я5.2,Увеличение числа посещений организаций культуры по отношению к 2023 году,представлен в переданном архиве,7,A24; A25; A26; A27; A28; A29; A31
