indicator_key,source_file,indicator_code,indicator_name
data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,Уровень бедности среди многодетных семей
data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1)
data (22).xls | 2.14.Я.3,data (22).xls,2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2)
data (23).xls | 2.14.Я.4,data (23).xls,2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)"
data (25).xls | 2.14.Я.6,data (25).xls,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)"
data (29).xls | 2.14.Я3.1,data (29).xls,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья
data (30).xls | 2.14.Я3.2,data (30).xls,2.14.Я3.2,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах"
data (31).xls | 2.14.Я3.3,data (31).xls,2.14.Я3.3,Младенческая смертность
data (32).xls | 2.14.Я3.3,data (32).xls,2.14.Я3.3,Младенческая смертность
data (33).xls | 2.14.Я3.4,data (33).xls,2.14.Я3.4,"Доля взятых под диспансерное наблюдение детей в возрасте 0–17 лет с впервые в жизни установленными диагнозами, от общего проведения профилактических медицинских осмотров"
data (34).xls | 2.14.Я3.5,data (34).xls,2.14.Я3.5,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности"
data (35).xls | 2.14.Я5.2,data (35).xls,2.14.Я5.2,Увеличение числа посещений организаций культуры по отношению к 2023 году
