concept_a,concept_b,page_cooccurrence_count
регион,занятость,45
старшее_поколение,регион,41
семья,дети,39
старшее_поколение,занятость,37
дети,регион,37
здоровье,регион,35
семья,регион,35
дети,рождаемость,31
дети,занятость,29
здоровье,занятость,27
дети,здоровье,27
семья,занятость,26
семья,рождаемость,25
культура,старшее_поколение,25
рождаемость,регион,25
здоровье,старшее_поколение,24
дети,многодетность,23
культура,регион,23
семья,здоровье,23
культура,занятость,22
рождаемость,здоровье,21
семья,многодетность,21
дети,культура,20
рождаемость,занятость,19
многодетность,регион,19
семья,старшее_поколение,17
семья,культура,17
здоровье,культура,16
дети,старшее_поколение,16
многодетность,занятость,15
многодетность,здоровье,13
рождаемость,многодетность,13
рождаемость,культура,11
дети,бедность,10
рождаемость,старшее_поколение,9
семья,бедность,9
бедность,занятость,8
многодетность,бедность,7
рождаемость,бедность,7
многодетность,культура,7
бедность,регион,6
многодетность,старшее_поколение,6
бедность,старшее_поколение,5
бедность,здоровье,4
бедность,культура,4
дети,жилье,2
многодетность,жилье,2
семья,жилье,2
жилье,регион,2
жилье,занятость,1
жилье,здоровье,1
бедность,жилье,1
рождаемость,жилье,1
