region_code,region_name,polygon_name,Name_full,Name_small,Population_2021,Voters_2024,centroid_x,centroid_y
1,Республика Адыгея,Республика Адыгея (Адыгея),Республика Адыгея (Адыгея),Адыгея,496933.99,342368,39.9919770701079,44.60093402623269
2,Республика Башкортостан,Республика Башкортостан,Республика Башкортостан,Башкортостан,4091423.0,2987234,56.51668038012388,54.323429733518
3,Республика Бурятия,Республика Бурятия,Республика Бурятия,Бурятия,978587.99,691760,109.62835106391498,53.678945241899264
4,Республика Алтай,Республика Алтай,Республика Алтай,Алтай,210923.99,163584,87.01373588677178,50.75635689207638
5,Республика Дагестан,Республика Дагестан,Республика Дагестан,Дагестан,3182054.0,1715547,47.02808173659287,43.172361591965625
6,Республика Ингушетия,Республика Ингушетия,Республика Ингушетия,Ингушетия,509540.99,246177,44.89444062530389,43.17319559982129
7,Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,Кабардино-Балкария,904199.99,543515,43.4090757776355,43.49582675770431
8,Республика Калмыкия,Республика Калмыкия,Республика Калмыкия,Калмыкия,267133.0,203128,45.299497733769115,46.45120808585194
9,Карачаево-Черкесская Республика,Карачаево-Черкесская Республика,Карачаево-Черкесская Республика,Карачаево-Черкесия,469865.0,297886,41.75411486005148,43.77298198479506
10,Республика Карелия,Республика Карелия,Республика Карелия,Карелия,533121.0,501186,33.21516604101935,63.770497702580876
11,Республика Коми,Республика Коми,Республика Коми,Коми,737852.99,631743,54.94833405838803,64.33382936820502
12,Республика Марий Эл,Республика Марий Эл,Республика Марий Эл,Марий Эл,677097.0,526941,47.93923932324053,56.57990327923446
13,Республика Мордовия,Республика Мордовия,Республика Мордовия,Мордовия,783552.0,580440,44.45538607579467,54.3660564290478
14,Республика Саха (Якутия),Республика Саха (Якутия),Республика Саха (Якутия),Саха,995685.99,638429,131.36665655636554,67.9942364462946
15,Республика Северная Осетия - Алания,Республика Северная Осетия – Алания,Республика Северная Осетия – Алания,Северная Осетия,687356.99,516627,44.262679159361134,43.09420182781596
16,Республика Татарстан,Республика Татарстан (Татарстан),Республика Татарстан (Татарстан),Татарстан,4004809.0,2928633,50.91600337603705,55.36314834383667
17,Республика Тыва,Республика Тыва,Республика Тыва,Тыва,336651.0,206030,94.8097619246035,51.61204682841637
18,Удмуртская Республика,Удмуртская Республика,Удмуртская Республика,Удмуртия,1452914.0,1163840,52.79801885217009,57.18597988051565
19,Республика Хакасия,Республика Хакасия,Республика Хакасия,Хакасия,534795.0,395078,89.89749755058163,53.43033368620855
20,Чеченская Республика,Чеченская Республика,Чеченская Республика,Чечня,1510824.0,807703,45.745784423184034,43.310164898827416
21,Чувашская Республика - Чувашия,Чувашская Республика - Чувашия,Чувашская Республика - Чувашия,Чувашия,1186909.0,909931,47.08679140724704,55.496863541139405
22,Алтайский край,Алтайский край,Алтайский край,Алтайский край,2163693.0,1756560,82.6119229416688,52.6329245639388
23,Краснодарский край,Краснодарский край,Краснодарский край,Краснодарский край,5838273.0,4388047,39.104931029900776,45.31754046894701
24,Красноярский край,Красноярский край,Красноярский край,Красноярский край,2856971.0,2029325,96.08278329976571,71.84226748287888
25,Приморский край,Приморский край,Приморский край,Приморский край,1845165.0,1412745,134.7769389185736,45.07086231024788
26,Ставропольский край,Ставропольский край,Ставропольский край,Ставропольский край,2907593.0,1898195,43.33967855420065,44.96259360694963
27,Хабаровский край,Хабаровский край,Хабаровский край,Хабаровский край,1292944.0,947206,137.706977646869,55.47061038802921
28,Амурская область,Амурская область,Амурская область,Амурская обл.,766911.99,590160,127.65246051954445,53.534337714260964
29,Архангельская область,Архангельская область,Архангельская область,Архангельская обл.,978872.99,854079,52.969498379817615,75.52347695703341
30,Астраханская область,Астраханская область,Астраханская область,Астраханская обл.,960141.99,710563,47.424443789548185,46.92167322672295
31,Белгородская область,Белгородская область,Белгородская область,Белгородская обл.,1540486.0,1213939,37.48876372610074,50.67456493264317
32,Брянская область,Брянская область,Брянская область,Брянская обл.,1169161.0,949870,33.423415571978936,52.91649531378482
33,Владимирская область,Владимирская область,Владимирская область,Владимирская обл.,1348134.0,1081050,40.67459781802398,56.018979697831604
34,Волгоградская область,Волгоградская область,Волгоградская область,Волгоградская обл.,2500781.0,1779930,44.151619014703115,49.640067377783815
35,Вологодская область,Вологодская область,Вологодская область,Вологодская обл.,1142827.0,894536,40.50750427696244,59.9843417123763
36,Воронежская область,Воронежская область,Воронежская область,Воронежская обл.,2308792.0,1812680,40.23273245197675,50.98405042378127
37,Ивановская область,Ивановская область,Ивановская область,Ивановская обл.,927827.99,762147,41.55725825490691,56.99296769655836
38,Иркутская область,Иркутская область,Иркутская область,Иркутская обл.,2370102.0,1828215,106.53840700336679,57.40591187863582
39,Калининградская область,Калининградская область,Калининградская область,Калининградская обл.,1029966.0,839361,21.14642958182696,54.7734900376376
40,Калужская область,Калужская область,Калужская область,Калужская обл.,1069904.0,797728,35.45018182961557,54.380522105481404
41,Камчатский край,Камчатский край,Камчатский край,Камчатский край,291705.0,225612,163.32775347569765,59.196929011261304
42,Кемеровская область - Кузбасс,Кемеровская область – Кузбасс,Кемеровская область – Кузбасс,Кемеровская обл.,2600923.0,1905832,87.19848524982137,54.82578019036462
43,Кировская область,Кировская область,Кировская область,Кировская обл.,1153680.0,1008031,49.83027980540716,58.72649655087735
44,Костромская область,Костромская область,Костромская область,Костромская обл.,580976.0,503289,43.80045644168594,58.467212455579364
45,Курганская область,Курганская область,Курганская область,Курганская обл.,776660.99,655243,64.80683700589857,55.46042710918525
46,Курская область,Курская область,Курская область,Курская обл.,1082458.0,880764,36.104588241941265,51.68385398109824
47,Ленинградская область,Ленинградская область,Ленинградская область,Ленинградская обл.,2000997.0,1421905,31.306023005474763,60.0370405400092
48,Липецкая область,Липецкая область,Липецкая область,Липецкая обл.,1143224.0,896000,39.14984616475226,52.650964328176684
49,Магаданская область,Магаданская область,Магаданская область,Магаданская обл.,136085.0,97255,154.16275705332757,62.62132271330984
50,Московская область,Московская область,Московская область,Московская обл.,8524665.0,6069742,37.65328281989436,55.68150173183638
51,Мурманская область,Мурманская область,Мурманская область,Мурманская обл.,667744.0,546254,35.158061433053895,67.84473383945496
52,Нижегородская область,Нижегородская область,Нижегородская область,Нижегородская обл.,3119115.0,2483405,44.62668144657603,56.347381686250706
53,Новгородская область,Новгородская область,Новгородская область,Новгородская обл.,583386.99,472098,32.497716017288724,58.32094645443722
54,Новосибирская область,Новосибирская область,Новосибирская область,Новосибирская обл.,2797176.0,2175076,79.7601316457034,55.30431486588992
55,Омская область,Омская область,Омская область,Омская обл.,1858798.0,1463679,73.3406326916374,56.16379830535564
56,Оренбургская область,Оренбургская область,Оренбургская область,Оренбургская обл.,1862767.0,1505634,55.594813969687515,52.01754050535754
57,Орловская область,Орловская область,Орловская область,Орловская обл.,713373.99,597995,36.47907719091705,52.785886370654225
58,Пензенская область,Пензенская область,Пензенская область,Пензенская обл.,1266348.0,1014386,44.63216934886639,53.18853626414406
59,Пермский край,Пермский край,Пермский край,Пермский край,2532405.0,1971044,56.22863616360949,59.201503366498216
60,Псковская область,Псковская область,Псковская область,Псковская обл.,599084.0,502131,29.221747099428754,57.267481618642805
61,Ростовская область,Ростовская область,Ростовская область,Ростовская обл.,4200729.0,3170164,41.26570027243714,47.75646070922018
62,Рязанская область,Рязанская область,Рязанская область,Рязанская обл.,1102810.0,877821,40.628023605626545,54.34149969521767
63,Самарская область,Самарская область,Самарская область,Самарская обл.,3172925.0,2401052,50.46861102595467,53.29072091477128
64,Саратовская область,Саратовская область,Саратовская область,Саратовская обл.,2442575.0,1819039,46.79365937361771,51.58977535263039
65,Сахалинская область,Сахалинская область,Сахалинская область,Сахалинская обл.,466609.0,373591,145.7760894930828,49.18432788808709
66,Свердловская область,Свердловская область,Свердловская область,Свердловская обл.,4268998.0,3296317,61.529632021375654,58.67900315088657
67,Смоленская область,Смоленская область,Смоленская область,Смоленская обл.,888420.99,733679,33.00228717923347,54.96861422962119
68,Тамбовская область,Тамбовская область,Тамбовская область,Тамбовская обл.,982990.99,800042,41.58566405400952,52.690181633036495
69,Тверская область,Тверская область,Тверская область,Тверская обл.,1230171.0,1009785,34.72370818188542,57.11283951030062
70,Томская область,Томская область,Томская область,Томская обл.,1062666.0,752604,82.117419009234,58.550287996627155
71,Тульская область,Тульская область,Тульская область,Тульская обл.,1501214.0,1137135,37.57487822219817,53.89453217749565
72,Тюменская область,Тюменская область,Тюменская область,Тюменская обл.,1601940.0,1163734,69.16153030335695,57.73919503988836
73,Ульяновская область,Ульяновская область,Ульяновская область,Ульяновская обл.,1196745.0,949354,47.95134087991926,53.90026437889544
74,Челябинская область,Челябинская область,Челябинская область,Челябинская обл.,3431224.0,2589694,60.39936230068177,54.489221429635705
75,Забайкальский край,Забайкальский край,Забайкальский край,Забайкальский край,1004125.0,759850,116.30734416146205,53.0296976855431
76,Ярославская область,Ярославская область,Ярославская область,Ярославская обл.,1209811.0,993560,39.14477798077996,57.878029232024524
77,Москва,Город Москва,Город Москва,Москва,13010112.0,7653745,37.364374622645386,55.56074260987989
78,Санкт-Петербург,Город Санкт-Петербург,Город Санкт-Петербург,Санкт-Петербург,5601911.0,3816980,30.06448727003613,59.96402184471255
79,Еврейская автономная область,Еврейская автономная область,Еврейская автономная область,Еврейская АО,150453.0,118713,132.25841836697361,48.52744387743983
83,Ненецкий автономный округ,Ненецкий автономный округ,Ненецкий автономный округ,Ненецкий АО,41433.99,34167,53.89963223681171,68.17094940149313
86,Ханты-Мансийский автономный округ - Югра,Ханты-Мансийский автономный округ – Югра,Ханты-Мансийский автономный округ – Югра,Ханты-Мансийский АО,1711480.0,1155031,70.19719283452262,61.960683289331435
87,Чукотский автономный округ,Чукотский автономный округ,Чукотский автономный округ,Чукотский АО,47489.99,32705,20.693683380267153,65.25022704540218
89,Ямало-Ненецкий автономный округ,Ямало-Ненецкий автономный округ,Ямало-Ненецкий автономный округ,Ямало-Ненецкий АО,510489.99,352364,74.10195130309532,68.23586159132289
90,Запорожская область,Запорожская область,Запорожская область,Запорожская обл.,1600000.0,470342,35.7719255135208,47.17441110240489
91,Республика Крым,Республика Крым,Республика Крым,Крым,1934630.0,1481251,34.42594889174181,45.270144430462246
92,Севастополь,Город Севастополь,Город Севастополь,Севастополь,547820.0,335295,33.47401553823683,44.5552353894225
93,Донецкая Народная Республика,Донецкая Народная Республика,Донецкая Народная Республика,ДНР,2200000.0,1971529,37.6755986712801,47.965958197288195
94,Луганская Народная Республика,Луганская Народная Республика,Луганская Народная Республика,ЛНР,1400000.0,1652441,39.01614015772883,48.99464613394129
95,Херсонская область,Херсонская область,Херсонская область,Херсонская обл.,1000000.0,468472,33.46622443947162,46.55456370010861
