region_code,region_name,federal_district,n_nonmissing_features,cluster_id,cluster_label,pca1,pca2
01,Республика Адыгея,Южный федеральный округ,12,2,Кластер 2,-1.4040477062915484,-1.2967829386239587
02,Республика Башкортостан,Приволжский федеральный округ,12,2,Кластер 2,-0.5783598183664282,-1.9894678664177112
03,Республика Бурятия,Дальневосточный федеральный округ,12,3,Кластер 3,1.4003625758174232,0.2157522552486525
04,Республика Алтай,Сибирский федеральный округ,12,3,Кластер 3,2.0680465991981296,-0.6598933210016243
05,Республика Дагестан,Северо-Кавказский федеральный округ,12,3,Кластер 3,4.368022727301851,-0.336418819746425
06,Республика Ингушетия,Северо-Кавказский федеральный округ,12,3,Кластер 3,3.5146877735378506,0.8934201017348747
07,Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,12,1,Кластер 1,1.0009912242375067,-3.7678413682542136
08,Республика Калмыкия,Южный федеральный округ,12,1,Кластер 1,-0.8882724915359467,0.08027955008562494
09,Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,12,2,Кластер 2,0.42462107396240284,-1.673052520977805
10,Республика Карелия,Северо-Западный федеральный округ,12,1,Кластер 1,-0.10404243777877666,0.6656494516804439
11,Республика Коми,Северо-Западный федеральный округ,12,1,Кластер 1,0.5232455260541963,1.021102748782
12,Республика Марий Эл,Приволжский федеральный округ,12,2,Кластер 2,-0.40691518048433206,0.6407144275451814
13,Республика Мордовия,Приволжский федеральный округ,12,2,Кластер 2,-2.3144587754256793,-0.24245315583842195
14,Республика Саха (Якутия),Дальневосточный федеральный округ,12,1,Кластер 1,0.5970195610251136,-0.41333539557053217
15,Республика Северная Осетия - Алания,Северо-Кавказский федеральный округ,12,1,Кластер 1,1.7402202409811718,0.5318942301023128
16,Республика Татарстан,Приволжский федеральный округ,12,2,Кластер 2,-1.1695563041670116,-1.861608338079282
17,Республика Тыва,Сибирский федеральный округ,12,3,Кластер 3,4.069918081888453,-1.0750801176822826
18,Удмуртская Республика,Приволжский федеральный округ,12,1,Кластер 1,-1.1321655350009303,-0.47290789842626485
19,Республика Хакасия,Сибирский федеральный округ,12,1,Кластер 1,-0.3825851782162369,-0.29848804939794327
20,Чеченская Республика,Северо-Кавказский федеральный округ,12,3,Кластер 3,6.621763103900221,-6.140440565982807
21,Чувашская Республика - Чувашия,Приволжский федеральный округ,12,1,Кластер 1,-1.0723064160115292,-0.7614577061176339
22,Алтайский край,Сибирский федеральный округ,12,1,Кластер 1,-0.9244386803497979,-0.04015904014894507
23,Краснодарский край,Южный федеральный округ,12,1,Кластер 1,0.40548941465207733,-0.8435389913781031
24,Красноярский край,Сибирский федеральный округ,12,1,Кластер 1,-0.17358955610754273,0.39009802273938005
25,Приморский край,Дальневосточный федеральный округ,12,1,Кластер 1,-0.11453722627893641,-0.5108377210928606
26,Ставропольский край,Северо-Кавказский федеральный округ,12,1,Кластер 1,-0.1242340717139952,0.37647093788173325
27,Хабаровский край,Дальневосточный федеральный округ,12,1,Кластер 1,-0.240850921271588,0.8342486008716063
28,Амурская область,Дальневосточный федеральный округ,12,1,Кластер 1,0.06971634877641847,1.022999848166177
29,Архангельская область,Северо-Западный федеральный округ,12,1,Кластер 1,-0.8247676135959106,0.7360714474491751
30,Астраханская область,Южный федеральный округ,12,1,Кластер 1,0.30320550642599825,-0.6793024155614108
31,Белгородская область,Центральный федеральный округ,12,1,Кластер 1,-1.8986242180056316,-0.028409927304761527
32,Брянская область,Центральный федеральный округ,12,1,Кластер 1,-1.1097460072623286,1.1014043958049213
33,Владимирская область,Центральный федеральный округ,12,1,Кластер 1,-1.5588613592115514,0.7032632211109295
34,Волгоградская область,Южный федеральный округ,12,2,Кластер 2,-1.1182348714062917,0.14769836376956882
35,Вологодская область,Северо-Западный федеральный округ,12,1,Кластер 1,-0.505474974765239,0.1872694339880903
36,Воронежская область,Центральный федеральный округ,12,2,Кластер 2,-1.6250231910470354,-1.4551737346515408
37,Ивановская область,Центральный федеральный округ,12,1,Кластер 1,-0.7549150700817325,-0.20964903416067057
38,Иркутская область,Сибирский федеральный округ,12,3,Кластер 3,1.3506669731843282,0.6772082698569227
39,Калининградская область,Северо-Западный федеральный округ,12,1,Кластер 1,-0.9184095335831772,0.7139405690356257
40,Калужская область,Центральный федеральный округ,12,1,Кластер 1,-0.7845402783635274,0.3880245400138919
41,Камчатский край,Дальневосточный федеральный округ,12,1,Кластер 1,1.537214352832644,1.175860711157365
42,Кемеровская область - Кузбасс,Сибирский федеральный округ,12,1,Кластер 1,-0.7420812604811001,0.3491294135553151
43,Кировская область,Приволжский федеральный округ,12,2,Кластер 2,0.13807546480451788,-0.3646183760177765
44,Костромская область,Центральный федеральный округ,12,2,Кластер 2,0.16513603346334688,-0.7819376943840841
45,Курганская область,Уральский федеральный округ,12,1,Кластер 1,1.1261134279322227,-0.750928358020803
46,Курская область,Центральный федеральный округ,12,2,Кластер 2,-0.5777138539930168,1.155903568800491
47,Ленинградская область,Северо-Западный федеральный округ,12,1,Кластер 1,-2.2405122586315556,-0.8142423655745171
48,Липецкая область,Центральный федеральный округ,12,1,Кластер 1,-1.7958551993827738,-1.0183775448697892
49,Магаданская область,Дальневосточный федеральный округ,12,2,Кластер 2,-0.133355445822084,2.740091342822258
50,Московская область,Центральный федеральный округ,12,1,Кластер 1,-0.7250982854685685,-1.540673587768204
51,Мурманская область,Северо-Западный федеральный округ,12,1,Кластер 1,-0.9816825842437297,1.4381057318709842
52,Нижегородская область,Приволжский федеральный округ,12,2,Кластер 2,-1.537557878025546,-0.7056246706755117
53,Новгородская область,Северо-Западный федеральный округ,12,1,Кластер 1,0.03648789947715068,1.9098201881397385
54,Новосибирская область,Сибирский федеральный округ,12,1,Кластер 1,0.6053490585443608,0.5364369841663978
55,Омская область,Сибирский федеральный округ,12,1,Кластер 1,0.05010844299989152,-1.3503135554335914
56,Оренбургская область,Приволжский федеральный округ,12,1,Кластер 1,-0.6491603023062662,0.039754890577291646
57,Орловская область,Центральный федеральный округ,12,1,Кластер 1,-0.9381981186056797,1.9427135144894154
58,Пензенская область,Приволжский федеральный округ,12,1,Кластер 1,-0.774667930031549,1.1063719338610638
59,Пермский край,Приволжский федеральный округ,12,1,Кластер 1,0.6456611227025487,-0.5502048926193878
60,Псковская область,Северо-Западный федеральный округ,12,2,Кластер 2,-0.1373691239885607,1.5998397979584946
61,Ростовская область,Южный федеральный округ,12,1,Кластер 1,-0.967780572437875,-0.5396158087638802
62,Рязанская область,Центральный федеральный округ,12,1,Кластер 1,-1.2428250415387052,0.1633363774895575
63,Самарская область,Приволжский федеральный округ,12,1,Кластер 1,-0.4781748008156423,0.18961559879369946
64,Саратовская область,Приволжский федеральный округ,12,1,Кластер 1,-1.126451578807372,-0.49300814792250847
65,Сахалинская область,Дальневосточный федеральный округ,12,1,Кластер 1,0.4414931775444183,-1.0689969902039043
66,Свердловская область,Уральский федеральный округ,12,1,Кластер 1,-0.32959696758781065,-0.08172202453256236
67,Смоленская область,Центральный федеральный округ,12,2,Кластер 2,-0.7462312766078917,0.35355328711929074
68,Тамбовская область,Центральный федеральный округ,12,1,Кластер 1,-0.9425331665056418,-0.36268232730219485
69,Тверская область,Центральный федеральный округ,12,1,Кластер 1,1.0129508945705823,1.2517768017182933
70,Томская область,Сибирский федеральный округ,12,1,Кластер 1,-0.425449106217386,0.9040566534770224
71,Тульская область,Центральный федеральный округ,12,2,Кластер 2,-1.1672470064270493,-0.6270880584122017
72,Тюменская область,Уральский федеральный округ,12,1,Кластер 1,0.58460798963899,-0.551525919723265
73,Ульяновская область,Приволжский федеральный округ,12,1,Кластер 1,-0.7339712166798823,0.4258024294560876
74,Челябинская область,Уральский федеральный округ,12,1,Кластер 1,-0.494363200823871,0.46508225608898324
75,Забайкальский край,Дальневосточный федеральный округ,12,1,Кластер 1,0.9820306085464886,1.052851369265118
76,Ярославская область,Центральный федеральный округ,12,1,Кластер 1,-1.170340452029117,1.04975676261857
77,Москва,Центральный федеральный округ,12,2,Кластер 2,-2.2783700211858684,-0.2255843830905503
78,Санкт-Петербург,Северо-Западный федеральный округ,12,2,Кластер 2,-1.529674844631112,0.890565810869693
79,Еврейская автономная область,Дальневосточный федеральный округ,12,3,Кластер 3,1.8976984902021443,2.424693602139821
83,Ненецкий автономный округ,Северо-Западный федеральный округ,12,3,Кластер 3,2.219761475751562,0.3341234786294571
86,Ханты-Мансийский автономный округ - Югра,Уральский федеральный округ,12,1,Кластер 1,0.0798096749610218,-0.9637848693231194
87,Чукотский автономный округ,Дальневосточный федеральный округ,12,3,Кластер 3,7.039319354317803,5.180581164248385
89,Ямало-Ненецкий автономный округ,Уральский федеральный округ,12,1,Кластер 1,1.1742938123679183,-1.2113552002673673
90,Запорожская область,Новые регионы / Южный макрорегион,1,,Недостаточно данных для кластеризации,,
91,Республика Крым,Южный федеральный округ,12,1,Кластер 1,0.45711251638824474,-0.5730246998895403
92,Севастополь,Южный федеральный округ,12,2,Кластер 2,-1.6559816183907108,-0.6757256839698748
93,Донецкая Народная Республика,Новые регионы / Южный макрорегион,1,,Недостаточно данных для кластеризации,,
94,Луганская Народная Республика,Новые регионы / Южный макрорегион,1,,Недостаточно данных для кластеризации,,
95,Херсонская область,Новые регионы / Южный макрорегион,1,,Недостаточно данных для кластеризации,,
