region_code,region_name,federal_district,community_id
1,Республика Адыгея,Южный федеральный округ,7
2,Республика Башкортостан,Приволжский федеральный округ,7
3,Республика Бурятия,Дальневосточный федеральный округ,6
4,Республика Алтай,Сибирский федеральный округ,6
5,Республика Дагестан,Северо-Кавказский федеральный округ,6
6,Республика Ингушетия,Северо-Кавказский федеральный округ,6
7,Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,3
8,Республика Калмыкия,Южный федеральный округ,1
9,Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,2
10,Республика Карелия,Северо-Западный федеральный округ,1
11,Республика Коми,Северо-Западный федеральный округ,4
12,Республика Марий Эл,Приволжский федеральный округ,4
13,Республика Мордовия,Приволжский федеральный округ,4
14,Республика Саха (Якутия),Дальневосточный федеральный округ,6
15,Республика Северная Осетия - Алания,Северо-Кавказский федеральный округ,2
16,Республика Татарстан,Приволжский федеральный округ,7
17,Республика Тыва,Сибирский федеральный округ,8
18,Удмуртская Республика,Приволжский федеральный округ,1
19,Республика Хакасия,Сибирский федеральный округ,1
20,Чеченская Республика,Северо-Кавказский федеральный округ,8
21,Чувашская Республика - Чувашия,Приволжский федеральный округ,1
22,Алтайский край,Сибирский федеральный округ,5
23,Краснодарский край,Южный федеральный округ,3
24,Красноярский край,Сибирский федеральный округ,1
25,Приморский край,Дальневосточный федеральный округ,3
26,Ставропольский край,Северо-Кавказский федеральный округ,4
27,Хабаровский край,Дальневосточный федеральный округ,5
28,Амурская область,Дальневосточный федеральный округ,6
29,Архангельская область,Северо-Западный федеральный округ,5
30,Астраханская область,Южный федеральный округ,8
31,Белгородская область,Центральный федеральный округ,1
32,Брянская область,Центральный федеральный округ,5
33,Владимирская область,Центральный федеральный округ,5
34,Волгоградская область,Южный федеральный округ,4
35,Вологодская область,Северо-Западный федеральный округ,1
36,Воронежская область,Центральный федеральный округ,7
37,Ивановская область,Центральный федеральный округ,3
38,Иркутская область,Сибирский федеральный округ,6
39,Калининградская область,Северо-Западный федеральный округ,5
40,Калужская область,Центральный федеральный округ,1
41,Камчатский край,Дальневосточный федеральный округ,2
42,Кемеровская область - Кузбасс,Сибирский федеральный округ,3
43,Кировская область,Приволжский федеральный округ,3
44,Костромская область,Центральный федеральный округ,3
45,Курганская область,Уральский федеральный округ,2
46,Курская область,Центральный федеральный округ,4
47,Ленинградская область,Северо-Западный федеральный округ,7
48,Липецкая область,Центральный федеральный округ,7
49,Магаданская область,Дальневосточный федеральный округ,2
50,Московская область,Центральный федеральный округ,3
51,Мурманская область,Северо-Западный федеральный округ,5
52,Нижегородская область,Приволжский федеральный округ,7
53,Новгородская область,Северо-Западный федеральный округ,2
54,Новосибирская область,Сибирский федеральный округ,2
55,Омская область,Сибирский федеральный округ,3
56,Оренбургская область,Приволжский федеральный округ,1
57,Орловская область,Центральный федеральный округ,2
58,Пензенская область,Приволжский федеральный округ,5
59,Пермский край,Приволжский федеральный округ,2
60,Псковская область,Северо-Западный федеральный округ,4
61,Ростовская область,Южный федеральный округ,7
62,Рязанская область,Центральный федеральный округ,4
63,Самарская область,Приволжский федеральный округ,1
64,Саратовская область,Приволжский федеральный округ,3
65,Сахалинская область,Дальневосточный федеральный округ,6
66,Свердловская область,Уральский федеральный округ,1
67,Смоленская область,Центральный федеральный округ,3
68,Тамбовская область,Центральный федеральный округ,4
69,Тверская область,Центральный федеральный округ,2
70,Томская область,Сибирский федеральный округ,2
71,Тульская область,Центральный федеральный округ,3
72,Тюменская область,Уральский федеральный округ,8
73,Ульяновская область,Приволжский федеральный округ,5
74,Челябинская область,Уральский федеральный округ,5
75,Забайкальский край,Дальневосточный федеральный округ,4
76,Ярославская область,Центральный федеральный округ,5
77,Москва,Центральный федеральный округ,4
78,Санкт-Петербург,Северо-Западный федеральный округ,4
79,Еврейская автономная область,Дальневосточный федеральный округ,2
83,Ненецкий автономный округ,Северо-Западный федеральный округ,6
86,Ханты-Мансийский автономный округ - Югра,Уральский федеральный округ,8
87,Чукотский автономный округ,Дальневосточный федеральный округ,2
89,Ямало-Ненецкий автономный округ,Уральский федеральный округ,8
90,Запорожская область,Новые регионы / Южный макрорегион,1
91,Республика Крым,Южный федеральный округ,2
92,Севастополь,Южный федеральный округ,3
93,Донецкая Народная Республика,Новые регионы / Южный макрорегион,1
94,Луганская Народная Республика,Новые регионы / Южный макрорегион,1
95,Херсонская область,Новые регионы / Южный макрорегион,1
