region_code_1,region_name_1,region_code_2,region_name_2,similarity_weight
1,Республика Адыгея,61,Ростовская область,0.647937633065988
1,Республика Адыгея,2,Республика Башкортостан,0.6730704393254032
1,Республика Адыгея,48,Липецкая область,0.728303857010006
1,Республика Адыгея,52,Нижегородская область,0.7368149354523493
2,Республика Башкортостан,61,Ростовская область,0.6860094234122417
2,Республика Башкортостан,52,Нижегородская область,0.7078845612376015
2,Республика Башкортостан,36,Воронежская область,0.797982140802282
3,Республика Бурятия,83,Ненецкий автономный округ,0.6735191820360092
3,Республика Бурятия,14,Республика Саха (Якутия),0.7461174999822066
3,Республика Бурятия,5,Республика Дагестан,0.794401707849194
3,Республика Бурятия,6,Республика Ингушетия,0.8151225437966335
4,Республика Алтай,5,Республика Дагестан,0.7291628469829353
4,Республика Алтай,17,Республика Тыва,0.797504814971879
4,Республика Алтай,6,Республика Ингушетия,0.8302122308106061
5,Республика Дагестан,38,Иркутская область,0.6917990331946126
5,Республика Дагестан,6,Республика Ингушетия,0.7319592604530922
6,Республика Ингушетия,75,Забайкальский край,0.8056368526912083
7,Кабардино-Балкарская Республика,23,Краснодарский край,0.6629713986256114
7,Кабардино-Балкарская Республика,20,Чеченская Республика,0.6793506615431711
7,Кабардино-Балкарская Республика,50,Московская область,0.7028808165219357
7,Кабардино-Балкарская Республика,55,Омская область,0.7939072389771247
8,Республика Калмыкия,14,Республика Саха (Якутия),0.5535594640649472
8,Республика Калмыкия,21,Чувашская Республика - Чувашия,0.6318222026284854
8,Республика Калмыкия,19,Республика Хакасия,0.6508936769094218
8,Республика Калмыкия,40,Калужская область,0.7415551103948257
9,Карачаево-Черкесская Республика,49,Магаданская область,0.3249957127168338
9,Карачаево-Черкесская Республика,57,Орловская область,0.35764806429576235
9,Карачаево-Черкесская Республика,45,Курганская область,0.3604492926910025
9,Карачаево-Черкесская Республика,44,Костромская область,0.6107416636555203
10,Республика Карелия,66,Свердловская область,0.6209220433149648
10,Республика Карелия,27,Хабаровский край,0.634778062576775
10,Республика Карелия,51,Мурманская область,0.7300616398243066
10,Республика Карелия,24,Красноярский край,0.7990662803799224
11,Республика Коми,75,Забайкальский край,0.597075181295195
11,Республика Коми,60,Псковская область,0.6726948530085037
11,Республика Коми,49,Магаданская область,0.6807504757125034
12,Республика Марий Эл,26,Ставропольский край,0.485210834565179
12,Республика Марий Эл,60,Псковская область,0.48538931519564477
12,Республика Марий Эл,34,Волгоградская область,0.5766128719648426
12,Республика Марий Эл,77,Москва,0.659023741604152
13,Республика Мордовия,77,Москва,0.6051445175653483
13,Республика Мордовия,26,Ставропольский край,0.6411540665998567
13,Республика Мордовия,68,Тамбовская область,0.6974175349721069
13,Республика Мордовия,62,Рязанская область,0.8043459445402412
14,Республика Саха (Якутия),65,Сахалинская область,0.777632100721374
15,Республика Северная Осетия - Алания,54,Новосибирская область,0.47722609453985676
15,Республика Северная Осетия - Алания,91,Республика Крым,0.4926353509707483
15,Республика Северная Осетия - Алания,53,Новгородская область,0.49315782945440134
15,Республика Северная Осетия - Алания,45,Курганская область,0.4953134019233903
16,Республика Татарстан,50,Московская область,0.5130353237825341
16,Республика Татарстан,86,Ханты-Мансийский автономный округ - Югра,0.5564312706842073
16,Республика Татарстан,47,Ленинградская область,0.5952103991993072
16,Республика Татарстан,36,Воронежская область,0.7203765759305975
17,Республика Тыва,72,Тюменская область,0.6649590623802056
17,Республика Тыва,20,Чеченская Республика,0.7357080335698597
18,Удмуртская Республика,19,Республика Хакасия,0.7117443097675512
18,Удмуртская Республика,31,Белгородская область,0.7335235315190021
18,Удмуртская Республика,21,Чувашская Республика - Чувашия,0.8154419551984777
18,Удмуртская Республика,56,Оренбургская область,0.884256742590186
19,Республика Хакасия,21,Чувашская Республика - Чувашия,0.6839838026322504
19,Республика Хакасия,56,Оренбургская область,0.8061867523197424
20,Чеченская Республика,45,Курганская область,0.6825870527868164
21,Чувашская Республика - Чувашия,95,Херсонская область,0.7184821792839708
21,Чувашская Республика - Чувашия,48,Липецкая область,0.7281716275924996
21,Чувашская Республика - Чувашия,93,Донецкая Народная Республика,0.7367546628670256
22,Алтайский край,33,Владимирская область,0.5342068069325423
22,Алтайский край,32,Брянская область,0.5797660787442163
22,Алтайский край,62,Рязанская область,0.7076390462386406
22,Алтайский край,68,Тамбовская область,0.7816318995892708
23,Краснодарский край,69,Тверская область,0.5128058588884971
23,Краснодарский край,50,Московская область,0.7259960142605295
23,Краснодарский край,55,Омская область,0.8507087200573057
24,Красноярский край,90,Запорожская область,0.7436149057248447
24,Красноярский край,95,Херсонская область,0.7436149057248447
24,Красноярский край,93,Донецкая Народная Республика,0.7443739620697992
25,Приморский край,50,Московская область,0.5600188106116292
25,Приморский край,37,Ивановская область,0.5783451574983747
25,Приморский край,64,Саратовская область,0.608603904013514
25,Приморский край,55,Омская область,0.6541272080823166
26,Ставропольский край,62,Рязанская область,0.5569633020296498
26,Ставропольский край,68,Тамбовская область,0.7702725214959492
27,Хабаровский край,56,Оренбургская область,0.7400743348275519
27,Хабаровский край,76,Ярославская область,0.7585988761575981
27,Хабаровский край,51,Мурманская область,0.769399838434824
27,Хабаровский край,74,Челябинская область,0.789880992455171
28,Амурская область,58,Пензенская область,0.5321443149197181
28,Амурская область,38,Иркутская область,0.5855706532802427
29,Архангельская область,56,Оренбургская область,0.6980819423160881
29,Архангельская область,51,Мурманская область,0.8031802998695942
29,Архангельская область,76,Ярославская область,0.8055084275783071
30,Астраханская область,72,Тюменская область,0.518605855845815
30,Астраханская область,86,Ханты-Мансийский автономный округ - Югра,0.6187532480485869
30,Астраханская область,89,Ямало-Ненецкий автономный округ,0.7530162498493178
31,Белгородская область,93,Донецкая Народная Республика,0.7388348924403323
31,Белгородская область,63,Самарская область,0.7564097363881612
31,Белгородская область,47,Ленинградская область,0.8635320434834042
32,Брянская область,76,Ярославская область,0.6549653735208386
32,Брянская область,33,Владимирская область,0.7364466780625305
32,Брянская область,58,Пензенская область,0.9090346314907871
33,Владимирская область,51,Мурманская область,0.6784209476315225
33,Владимирская область,73,Ульяновская область,0.6861417964739326
33,Владимирская область,76,Ярославская область,0.8188582947778135
34,Волгоградская область,60,Псковская область,0.48934325591940075
34,Волгоградская область,46,Курская область,0.5418439611196431
34,Волгоградская область,78,Санкт-Петербург,0.6671275764804967
35,Вологодская область,90,Запорожская область,0.6927842479468046
35,Вологодская область,95,Херсонская область,0.6927842479468047
35,Вологодская область,93,Донецкая Народная Республика,0.7108673169280015
35,Вологодская область,66,Свердловская область,0.7463317105359198
36,Воронежская область,61,Ростовская область,0.7034544689500264
36,Воронежская область,52,Нижегородская область,0.7815055904367975
37,Ивановская область,71,Тульская область,0.4978943901258609
37,Ивановская область,42,Кемеровская область - Кузбасс,0.6127515970747923
39,Калининградская область,76,Ярославская область,0.5533165486750813
39,Калининградская область,63,Самарская область,0.5862836410684298
39,Калининградская область,74,Челябинская область,0.6248503475878314
40,Калужская область,90,Запорожская область,0.6301563800938373
40,Калужская область,66,Свердловская область,0.6371026589286498
40,Калужская область,93,Донецкая Народная Республика,0.659089827785514
41,Камчатский край,59,Пермский край,0.6066261336637819
41,Камчатский край,70,Томская область,0.619388333020018
41,Камчатский край,54,Новосибирская область,0.8522382352758096
42,Кемеровская область - Кузбасс,67,Смоленская область,0.600299085659535
42,Кемеровская область - Кузбасс,71,Тульская область,0.6662910621310398
42,Кемеровская область - Кузбасс,64,Саратовская область,0.7888966019055413
43,Кировская область,91,Республика Крым,0.5313210630139563
43,Кировская область,67,Смоленская область,0.5921750678195877
43,Кировская область,71,Тульская область,0.6177837722416937
43,Кировская область,44,Костромская область,0.701406592551786
44,Костромская область,77,Москва,0.47506133426482444
44,Костромская область,71,Тульская область,0.49995051506063237
45,Курганская область,59,Пермский край,0.6454802810601914
45,Курганская область,91,Республика Крым,0.7373338982337537
46,Курская область,75,Забайкальский край,0.6299949343331271
46,Курская область,78,Санкт-Петербург,0.6636248311050563
46,Курская область,60,Псковская область,0.7057815642613283
47,Ленинградская область,50,Московская область,0.6873308268488741
47,Ленинградская область,61,Ростовская область,0.705671521069806
47,Ленинградская область,48,Липецкая область,0.7688710861892096
48,Липецкая область,61,Ростовская область,0.8850602200577087
49,Магаданская область,57,Орловская область,0.6009722607596004
49,Магаданская область,53,Новгородская область,0.650092700730915
50,Московская область,55,Омская область,0.8749178357358631
51,Мурманская область,76,Ярославская область,0.8455305002371349
52,Нижегородская область,61,Ростовская область,0.8104705197433367
53,Новгородская область,57,Орловская область,0.5044473595741995
53,Новгородская область,79,Еврейская автономная область,0.5073863335533284
54,Новосибирская область,59,Пермский край,0.5903379462596084
54,Новосибирская область,83,Ненецкий автономный округ,0.6109317948315385
54,Новосибирская область,70,Томская область,0.6381938934863852
56,Оренбургская область,66,Свердловская область,0.7516778133506151
56,Оренбургская область,74,Челябинская область,0.7881110549309561
57,Орловская область,76,Ярославская область,0.6206588412176783
59,Пермский край,91,Республика Крым,0.7399867321678621
60,Псковская область,78,Санкт-Петербург,0.7039330800653074
60,Псковская область,75,Забайкальский край,0.7547755559031576
62,Рязанская область,77,Москва,0.5764612144538104
62,Рязанская область,68,Тамбовская область,0.721939564571803
