region_code,region_name,federal_district,family_project_performance_index,family_project_risk_index,pc1_score
1,Республика Адыгея,Южный федеральный округ,12.36,87.64,-1.4190733077563498
2,Республика Башкортостан,Приволжский федеральный округ,41.57,58.43,-0.565809260274112
3,Республика Бурятия,Дальневосточный федеральный округ,88.76,11.24,1.4565890044910064
4,Республика Алтай,Сибирский федеральный округ,93.26,6.74,2.149279738675369
5,Республика Дагестан,Северо-Кавказский федеральный округ,97.75,2.25,4.509708989258438
6,Республика Ингушетия,Северо-Кавказский федеральный округ,95.51,4.49,3.629334562204042
7,Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,83.15,16.85,1.0507066051873615
8,Республика Калмыкия,Южный федеральный округ,30.34,69.66,-0.8991075078697301
9,Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,74.16,25.84,0.48352385704588347
10,Республика Карелия,Северо-Западный федеральный округ,62.92,37.08,-0.09245695841676049
11,Республика Коми,Северо-Западный федеральный округ,76.4,23.6,0.5606252988486956
12,Республика Марий Эл,Приволжский федеральный округ,52.81,47.19,-0.38575079662724476
13,Республика Мордовия,Приволжский федеральный округ,1.12,98.88,-2.3403123750971386
14,Республика Саха (Якутия),Дальневосточный федеральный округ,78.65,21.35,0.6232205413480805
15,Республика Северная Осетия - Алания,Северо-Кавказский федеральный округ,91.01,8.99,1.8163222767930576
16,Республика Татарстан,Приволжский федеральный округ,15.73,84.27,-1.1782181315624805
17,Республика Тыва,Сибирский федеральный округ,96.63,3.37,4.214342231826243
18,Удмуртская Республика,Приволжский федеральный округ,17.98,82.02,-1.1512104133644174
19,Республика Хакасия,Сибирский федеральный округ,53.93,46.07,-0.3812897340402231
20,Чеченская Республика,Северо-Кавказский федеральный округ,98.88,1.12,6.833509586989998
21,Чувашская Республика - Чувашия,Приволжский федеральный округ,22.47,77.53,-1.0910790893317301
22,Алтайский край,Сибирский федеральный округ,28.09,71.91,-0.93155958814964
23,Краснодарский край,Южный федеральный округ,71.91,28.09,0.4314135257642271
24,Красноярский край,Сибирский федеральный округ,57.3,42.7,-0.16500816734349488
25,Приморский край,Дальневосточный федеральный округ,59.55,40.45,-0.09925442988516107
26,Ставропольский край,Северо-Кавказский федеральный округ,60.67,39.33,-0.09847944955493503
27,Хабаровский край,Дальневосточный федеральный округ,56.18,43.82,-0.23469574341942728
28,Амурская область,Дальневосточный федеральный округ,66.29,33.71,0.0929317358109605
29,Архангельская область,Северо-Западный федеральный округ,31.46,68.54,-0.8314995731672199
30,Астраханская область,Южный федеральный округ,70.79,29.21,0.32624274532551606
31,Белгородская область,Центральный федеральный округ,4.49,95.51,-1.9433382851312255
32,Брянская область,Центральный федеральный округ,20.22,79.78,-1.1191200510982724
33,Владимирская область,Центральный федеральный округ,8.99,91.01,-1.5884940505583809
34,Волгоградская область,Южный федеральный округ,21.35,78.65,-1.1139965324071113
35,Вологодская область,Северо-Западный федеральный округ,43.82,56.18,-0.507262901089901
36,Воронежская область,Центральный федеральный округ,7.87,92.13,-1.6408284124829795
37,Ивановская область,Центральный федеральный округ,34.83,65.17,-0.7579180860668897
38,Иркутская область,Сибирский федеральный округ,87.64,12.36,1.4045209591004757
39,Калининградская область,Северо-Западный федеральный округ,29.21,70.79,-0.9295505588355594
40,Калужская область,Центральный федеральный округ,32.58,67.42,-0.7936233904743272
41,Камчатский край,Дальневосточный федеральный округ,89.89,10.11,1.5863267462813053
42,Кемеровская область - Кузбасс,Сибирский федеральный округ,35.96,64.04,-0.7417872379822802
43,Кировская область,Приволжский федеральный округ,68.54,31.46,0.17694731942619055
44,Костромская область,Центральный федеральный округ,69.66,30.34,0.22168870730826176
45,Курганская область,Уральский федеральный округ,85.39,14.61,1.1800011534847943
46,Курская область,Центральный федеральный округ,42.7,57.3,-0.5556570192646735
47,Ленинградская область,Северо-Западный федеральный округ,2.25,97.75,-2.289274788343399
48,Липецкая область,Центральный федеральный округ,5.62,94.38,-1.8286111989945864
49,Магаданская область,Дальневосточный федеральный округ,61.8,38.2,-0.09460710614805543
