region_code,region_name,tile_label,federal_district,tile_x,tile_y,has_tile_polygon,data_20.xls_2.14.Я.1,data_21.xls_2.14.Я.2,data_22.xls_2.14.Я.3,data_23.xls_2.14.Я.4,data_25.xls_2.14.Я.6,data_29.xls_2.14.Я3.1,data_30.xls_2.14.Я3.2,data_31.xls_2.14.Я3.3,data_32.xls_2.14.Я3.3,data_33.xls_2.14.Я3.4,data_34.xls_2.14.Я3.5,data_35.xls_2.14.Я5.2
01,Республика Адыгея,АД,Южный федеральный округ,4,9,True,12.9,1.368,0.402,5.9,94.9,7.99,10.21,2.5,1.9,88.32,35.49,24.7
02,Республика Башкортостан,БА,Приволжский федеральный округ,13,7,True,14.4,1.296,0.351,2.46,95.8,8.68,11.99,3.8,2.5,85.22,38.31,35.6
03,Республика Бурятия,БУР,Дальневосточный федеральный округ,23,3,True,33.8,1.451,0.556,11.54,85.2,7.03,20.86,3.3,2.7,85.22,22.03,27.0
04,Республика Алтай,АЛР,Сибирский федеральный округ,19,6,True,25.9,1.792,0.699,15.59,80.2,11.14,14.22,4.9,3.5,100.0,34.72,27.0
05,Республика Дагестан,ДАГ,Северо-Кавказский федеральный округ,9,12,True,51.4,1.766,0.707,1.07,95.9,7.63,5.3,6.5,4.0,87.1,18.97,28.1
06,Республика Ингушетия,ИНГ,Северо-Кавказский федеральный округ,7,12,True,37.4,1.72,0.933,5.45,82.4,8.3,12.2,5.1,3.6,99.65,100.0,22.2
07,Кабардино-Балкарская Республика,КБР,Северо-Кавказский федеральный округ,9,11,True,18.1,1.575,0.607,3.48,85.3,11.95,15.25,3.7,1.2,94.06,100.0,32.4
08,Республика Калмыкия,КАЛ,Южный федеральный округ,6,8,True,18.1,1.22,0.514,11.87,84.4,4.47,0.0,4.6,4.1,81.7,20.0,26.2
09,Карачаево-Черкесская Республика,КЧР,Северо-Кавказский федеральный округ,8,11,True,20.1,1.356,0.528,5.56,90.4,8.51,20.2,3.4,4.7,88.38,34.69,30.9
10,Республика Карелия,КАР,Северо-Западный федеральный округ,1,0,True,16.5,1.505,0.352,4.91,96.7,6.0,9.09,4.2,9.3,81.04,13.48,28.1
11,Республика Коми,КОМ,Северо-Западный федеральный округ,2,2,True,21.1,1.482,0.401,4.62,95.1,6.4,13.44,3.8,1.4,83.73,15.56,26.4
12,Республика Марий Эл,МЭ,Приволжский федеральный округ,10,6,True,20.3,1.345,0.387,27.86,83.7,11.06,16.82,4.9,4.1,75.38,22.64,28.2
13,Республика Мордовия,МОР,Приволжский федеральный округ,12,6,True,11.0,1.017,0.242,48.46,83.3,10.62,14.89,1.6,4.9,83.89,51.13,29.2
