region_code,region_name,indicator_key,source_file,indicator_code,z_score,spatial_lag_z,local_moran_I,p_value,cluster_type
1,Республика Адыгея,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.7757416119036589,0.6863283258332613,-0.5324134417770338,0.36,NS
2,Республика Башкортостан,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.5781645932905616,-0.6154846968063689,0.35585145940561885,0.2,NS
3,Республика Бурятия,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,1.9771648474388301,1.3361371870496703,2.641763477590409,0.04,HH
4,Республика Алтай,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.936592549409851,0.31751789108881295,0.2973848910981107,0.24,NS
5,Республика Дагестан,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,4.295401865832505,0.4624077047384176,1.986226917708725,0.02,HH
6,Республика Ингушетия,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,2.4513496921102638,0.409720499774925,1.0043682209745257,0.04,HH
7,Кабардино-Балкарская Республика,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.0908079473782547,0.023347663375979155,-0.0021201533872511197,0.94,NS
8,Республика Калмыкия,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.0908079473782547,0.752187332037627,-0.06830458766626263,0.62,NS
9,Карачаево-Черкесская Республика,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.1726280774392084,0.2911742886070666,0.050264857641967114,0.86,NS
10,Республика Карелия,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.30155676723222535,-0.9041666740021722,0.2726575792512084,0.44,NS
11,Республика Коми,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.3043460898479399,-0.4012861194845507,-0.12212986137537622,0.38,NS
12,Республика Марий Эл,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.19897167992095463,-0.6571954007358005,-0.1307632729207272,0.64,NS
13,Республика Мордовия,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-1.0260058354802488,-0.1803761958161923,0.18506702948914133,0.5,NS
14,Республика Саха (Якутия),data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,1.5951826114535088,0.24036876953512734,0.38343208149891106,0.16,NS
15,Республика Северная Осетия - Алания,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.38058757467746424,0.8795147440327341,-0.334732383324489,0.32,NS
16,Республика Татарстан,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-1.3421290652612046,-0.2850920156811339,0.38263028051955295,0.16,NS
17,Республика Тыва,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,1.0419669593368364,1.102557245044853,1.1488282201141848,0.02,HH
18,Удмуртская Республика,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.8020852143854054,-0.5485280404985969,0.4399662309597234,0.14,NS
19,Республика Хакасия,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.1199408724757155,0.3471544438807775,0.041638006882882266,0.74,NS
20,Чеченская Республика,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,1.2000285742273142,2.341584681769654,2.8099685270965575,0.02,HH
21,Чувашская Республика - Чувашия,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.0908079473782547,-0.7625698106627857,0.0692473992389119,0.6,NS
