indicator_key,source_file,indicator_code,indicator_name,moran_I,z_score,p_value,n_regions_with_data
data (22).xls | 2.14.Я.3,data (22).xls,2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),0.4696366920410277,6.840091066160494,0.01,85
data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),0.36073617285440424,4.995630774931364,0.01,85
data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,Уровень бедности среди многодетных семей,0.19551813380278965,2.987849446132505,0.02,85
data (32).xls | 2.14.Я3.3,data (32).xls,2.14.Я3.3,Младенческая смертность,0.1309743025263932,2.2249247639842045,0.07,85
data (25).xls | 2.14.Я.6,data (25).xls,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",0.04010141909709562,0.6957284646183923,0.54,85
data (34).xls | 2.14.Я3.5,data (34).xls,2.14.Я3.5,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности",0.035232997536177015,0.7050905031839502,0.65,85
data (29).xls | 2.14.Я3.1,data (29).xls,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,0.024042256871391478,0.3939117730808357,0.72,85
data (31).xls | 2.14.Я3.3,data (31).xls,2.14.Я3.3,Младенческая смертность,0.006474861425740648,0.3893567072707051,0.9,85
data (33).xls | 2.14.Я3.4,data (33).xls,2.14.Я3.4,"Доля взятых под диспансерное наблюдение детей в возрасте 0–17 лет с впервые в жизни установленными диагнозами, от общего проведения профилактических медицинских осмотров",-0.002624643202971741,0.2688592582411161,0.96,85
data (23).xls | 2.14.Я.4,data (23).xls,2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",-0.031013547198884904,-0.3150323715162595,0.61,89
data (35).xls | 2.14.Я5.2,data (35).xls,2.14.Я5.2,Увеличение числа посещений организаций культуры по отношению к 2023 году,-0.041551858637966455,-0.3024495738953322,0.61,85
data (30).xls | 2.14.Я3.2,data (30).xls,2.14.Я3.2,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",-0.12325517611163948,-1.6283764305779982,0.12,85
