indicator_code,indicator_name,unit,baseline_year,baseline_value,target_year,target_value,direction,target_source
2.14.Я.1,Уровень бедности среди многодетных семей,процент,2023.0,27.2,2025,22.9,decrease,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.1,Уровень бедности среди многодетных семей,процент,2023.0,27.2,2026,20.7,decrease,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.1,Уровень бедности среди многодетных семей,процент,2023.0,27.2,2027,18.5,decrease,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.1,Уровень бедности среди многодетных семей,процент,2023.0,27.2,2028,16.4,decrease,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.1,Уровень бедности среди многодетных семей,процент,2023.0,27.2,2029,14.2,decrease,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.1,Уровень бедности среди многодетных семей,процент,2023.0,27.2,2030,12.0,decrease,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.2,Суммарный коэффициент рождаемости,единица,2023.0,1.41,2025,1.443,increase,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.2,Суммарный коэффициент рождаемости,единица,2023.0,1.41,2026,1.473,increase,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.2,Суммарный коэффициент рождаемости,единица,2023.0,1.41,2027,1.503,increase,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.2,Суммарный коэффициент рождаемости,единица,2023.0,1.41,2028,1.533,increase,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.2,Суммарный коэффициент рождаемости,единица,2023.0,1.41,2029,1.563,increase,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.2,Суммарный коэффициент рождаемости,единица,2023.0,1.41,2030,1.593,increase,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей,единица,2023.0,0.372,2025,0.399,increase,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей,единица,2023.0,0.372,2026,0.414,increase,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей,единица,2023.0,0.372,2027,0.428,increase,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей,единица,2023.0,0.372,2028,0.443,increase,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей,единица,2023.0,0.372,2029,0.459,increase,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей,единица,2023.0,0.372,2030,0.475,increase,"Паспорт национального проекта «Семья», таблица показателей"
2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся",процент,2023.0,10.37,2025,10.5,increase,Паспорт нацпроекта и Стратегия старшего поколения до 2030 года
2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся",процент,2023.0,10.37,2026,11.2,increase,Паспорт нацпроекта и Стратегия старшего поколения до 2030 года
2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся",процент,2023.0,10.37,2027,11.2,increase,Паспорт нацпроекта и Стратегия старшего поколения до 2030 года
