territory_name,territory_type,region_code,region_name,federal_district,territory_canonical_status
Российская Федерация,Российская Федерация,,,,Российская Федерация
Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация,,,,Российская Федерация
Алтайский край,субъект РФ,22,Алтайский край,Сибирский федеральный округ,mapped_to_89
Амурская область,субъект РФ,28,Амурская область,Дальневосточный федеральный округ,mapped_to_89
Архангельская область,субъект РФ,29,Архангельская область,Северо-Западный федеральный округ,mapped_to_89
Архангельская область (кроме Ненецкого автономного округа),субъект РФ,29,Архангельская область,Северо-Западный федеральный округ,mapped_to_89
Астраханская область,субъект РФ,30,Астраханская область,Южный федеральный округ,mapped_to_89
Белгородская область,субъект РФ,31,Белгородская область,Центральный федеральный округ,mapped_to_89
Брянская область,субъект РФ,32,Брянская область,Центральный федеральный округ,mapped_to_89
Владимирская область,субъект РФ,33,Владимирская область,Центральный федеральный округ,mapped_to_89
Волгоградская область,субъект РФ,34,Волгоградская область,Южный федеральный округ,mapped_to_89
Вологодская область,субъект РФ,35,Вологодская область,Северо-Западный федеральный округ,mapped_to_89
Воронежская область,субъект РФ,36,Воронежская область,Центральный федеральный округ,mapped_to_89
Город Москва столица Российской Федерации город федерального значения,субъект РФ,77,Москва,Центральный федеральный округ,mapped_to_89
Город Санкт-Петербург город федерального значения,субъект РФ,78,Санкт-Петербург,Северо-Западный федеральный округ,mapped_to_89
Город федерального значения Севастополь,субъект РФ,92,Севастополь,Южный федеральный округ,mapped_to_89
Донецкая Народная Республика,субъект РФ,93,Донецкая Народная Республика,Новые регионы / Южный макрорегион,mapped_to_89
Еврейская автономная область,субъект РФ,79,Еврейская автономная область,Дальневосточный федеральный округ,mapped_to_89
Забайкальский край,субъект РФ,75,Забайкальский край,Дальневосточный федеральный округ,mapped_to_89
Запорожская область,субъект РФ,90,Запорожская область,Новые регионы / Южный макрорегион,mapped_to_89
Ивановская область,субъект РФ,37,Ивановская область,Центральный федеральный округ,mapped_to_89
Иркутская область,субъект РФ,38,Иркутская область,Сибирский федеральный округ,mapped_to_89
Кабардино-Балкарская Республика,субъект РФ,07,Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,mapped_to_89
Калининградская область,субъект РФ,39,Калининградская область,Северо-Западный федеральный округ,mapped_to_89
Калужская область,субъект РФ,40,Калужская область,Центральный федеральный округ,mapped_to_89
Камчатский край,субъект РФ,41,Камчатский край,Дальневосточный федеральный округ,mapped_to_89
Карачаево-Черкесская Республика,субъект РФ,09,Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,mapped_to_89
Кемеровская область - Кузбасс,субъект РФ,42,Кемеровская область - Кузбасс,Сибирский федеральный округ,mapped_to_89
Кировская область,субъект РФ,43,Кировская область,Приволжский федеральный округ,mapped_to_89
Костромская область,субъект РФ,44,Костромская область,Центральный федеральный округ,mapped_to_89
Краснодарский край,субъект РФ,23,Краснодарский край,Южный федеральный округ,mapped_to_89
Красноярский край,субъект РФ,24,Красноярский край,Сибирский федеральный округ,mapped_to_89
Курганская область,субъект РФ,45,Курганская область,Уральский федеральный округ,mapped_to_89
Курская область,субъект РФ,46,Курская область,Центральный федеральный округ,mapped_to_89
Ленинградская область,субъект РФ,47,Ленинградская область,Северо-Западный федеральный округ,mapped_to_89
Липецкая область,субъект РФ,48,Липецкая область,Центральный федеральный округ,mapped_to_89
Луганская Народная Республика,субъект РФ,94,Луганская Народная Республика,Новые регионы / Южный макрорегион,mapped_to_89
Магаданская область,субъект РФ,49,Магаданская область,Дальневосточный федеральный округ,mapped_to_89
Московская область,субъект РФ,50,Московская область,Центральный федеральный округ,mapped_to_89
Мурманская область,субъект РФ,51,Мурманская область,Северо-Западный федеральный округ,mapped_to_89
Ненецкий автономный округ,субъект РФ,83,Ненецкий автономный округ,Северо-Западный федеральный округ,mapped_to_89
