region_code,region_name,tile_label,federal_district,tile_x,tile_y,has_tile_polygon
01,Республика Адыгея,АД,Южный федеральный округ,4,9,True
02,Республика Башкортостан,БА,Приволжский федеральный округ,13,7,True
03,Республика Бурятия,БУР,Дальневосточный федеральный округ,23,3,True
04,Республика Алтай,АЛР,Сибирский федеральный округ,19,6,True
05,Республика Дагестан,ДАГ,Северо-Кавказский федеральный округ,9,12,True
06,Республика Ингушетия,ИНГ,Северо-Кавказский федеральный округ,7,12,True
07,Кабардино-Балкарская Республика,КБР,Северо-Кавказский федеральный округ,9,11,True
08,Республика Калмыкия,КАЛ,Южный федеральный округ,6,8,True
09,Карачаево-Черкесская Республика,КЧР,Северо-Кавказский федеральный округ,8,11,True
10,Республика Карелия,КАР,Северо-Западный федеральный округ,1,0,True
11,Республика Коми,КОМ,Северо-Западный федеральный округ,2,2,True
12,Республика Марий Эл,МЭ,Приволжский федеральный округ,10,6,True
13,Республика Мордовия,МОР,Приволжский федеральный округ,12,6,True
14,Республика Саха (Якутия),ЯКТ,Дальневосточный федеральный округ,22,2,True
15,Республика Северная Осетия - Алания,СОА,Северо-Кавказский федеральный округ,10,11,True
16,Республика Татарстан,ТАТ,Приволжский федеральный округ,14,5,True
17,Республика Тыва,ТЫВ,Сибирский федеральный округ,19,7,True
18,Удмуртская Республика,УДМ,Приволжский федеральный округ,13,5,True
19,Республика Хакасия,ХАК,Сибирский федеральный округ,20,6,True
20,Чеченская Республика,ЧЕЧ,Северо-Кавказский федеральный округ,8,12,True
21,Чувашская Республика - Чувашия,ЧУВ,Приволжский федеральный округ,11,6,True
22,Алтайский край,АЛК,Сибирский федеральный округ,18,6,True
23,Краснодарский край,КДР,Южный федеральный округ,3,9,True
24,Красноярский край,КРЯ,Сибирский федеральный округ,21,6,True
25,Приморский край,ПРИ,Дальневосточный федеральный округ,23,4,True
26,Ставропольский край,СТА,Северо-Кавказский федеральный округ,7,11,True
27,Хабаровский край,ХАБ,Дальневосточный федеральный округ,22,4,True
28,Амурская область,АМУ,Дальневосточный федеральный округ,24,3,True
29,Архангельская область,АРХ,Северо-Западный федеральный округ,2,0,True
30,Астраханская область,АСТ,Южный федеральный округ,5,8,True
31,Белгородская область,БЕЛ,Центральный федеральный округ,8,5,True
32,Брянская область,БРЯ,Центральный федеральный округ,8,4,True
33,Владимирская область,ВЛД,Центральный федеральный округ,6,4,True
34,Волгоградская область,ВГГ,Южный федеральный округ,4,8,True
35,Вологодская область,ВОЛ,Северо-Западный федеральный округ,1,2,True
36,Воронежская область,ВРН,Центральный федеральный округ,9,5,True
37,Ивановская область,ИВН,Центральный федеральный округ,7,4,True
38,Иркутская область,ИРК,Сибирский федеральный округ,18,7,True
39,Калининградская область,КГД,Северо-Западный федеральный округ,0,1,True
40,Калужская область,КЛЖ,Центральный федеральный округ,4,4,True
41,Камчатский край,КАМ,Дальневосточный федеральный округ,24,2,True
42,Кемеровская область - Кузбасс,КЕМ,Сибирский федеральный округ,21,5,True
