source_table_id,source_file,project_code,project_name,indicator_code,indicator_name,source_title,passport_title,placement,matched_expected_source_name,match_score,unit_from_passport,time_series_range,last_update,periodicity,classifier_features,methodology,source_method,agency,department,comment,responsible,n_observations,layout_data_start_row_zero_based,layout_first_value_col_zero_based,layout_year_row_zero_based,layout_period_row_zero_based
data_20,data (20).xls,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Уровень бедности среди многодетных семей (Я1),Уровень бедности среди многодетных семей,1.0,процент,2021 - 2024,30.12.2025,"- Квартальная
 * Представляется: на 24-28-й рабочий день после месяца, следующего за отчетным периодом
 * след. обновление: 30.12.2026
- Годовая
 * Характеристика: не охарактеризована
 * Представляется: 30 апреля
 * след. обновление: 30.04.2026
 * Характеристика: не охарактеризована
 * Представляется: 30 декабря
 * след. обновление: 30.12.2026",- Классификатор объектов административно-территориального деления (ОКАТО),"Показатель характеризует долю численности малоимущих домохозяйств, имеющих в своем составе многодетные семьи, в процентах к общей численности домохозяйств данной социально-демографической группы. Расчет показателя осуществляется в соответствии с методикой, утвержденной приказом Минтруда России от 25.02.2025 г. № 83 ""Об утверждении методики расчета показателя ""Уровень бедности среди многодетных семей"" федерального проекта ""Поддержка семьи"", входящего в состав национального проекта ""Семья"".",Расчет,Федеральная служба государственной статистики,Управление статистики уровня жизни и обследований домашних хозяйств,"Статистические данные по Российской Федерации публикуются без учета статистической информации по Донецкой Народной Республике (ДНР), Луганской Народной Республике (ЛНР), Запорожской и Херсонской областям.",Перфильева А.И. - (495) 568-00-42 (доб. 99-728) perfilevaai@rosstat.gov.ru,89,3,1,2,
data_21,data (21).xls,Я,Национальный проект «Семья»,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.0,единица,2025 - 2026,22.04.2026,"- Годовая
 * Характеристика: не охарактеризована
 * Представляется: на 7-й рабочий день после отчетного периода
 * след. обновление: 09.01.2027
 * Характеристика: не охарактеризована
 * Представляется: 18 апреля
 * след. обновление: 18.04.2027
- Месячная
 * Характеристика: не охарактеризована
 * Представляется: на 7-й рабочий день после отчетного периода
 * след. обновление: 09.05.2026
 * Характеристика: не охарактеризована
 * Представляется: на 14-й рабочий день после отчетного периода
 * след. обновление: 18.05.2026",- Классификатор объектов административно-территориального деления (ОКАТО),"Показатель определяет, сколько в среднем родила бы одна женщина детей всех очередностей рождения на протяжении всего репродуктивного периода при сохранении в каждом возрасте уровня рождаемости того года, для которого вычисляется показатель. Статистические данные по Российской Федерации публикуются без учета статистической информации по Донецкой Народной Республике (ДНР), Луганской Народной Республике (ЛНР), Запорожской и Херсонской областям",Расчет,Федеральная служба государственной статистики,Управление статистики населения и здравоохранения,,"Ильин И.В - (495) 598-00-42, 99781 iliniv@rosstat.gov.ru",1536,4,2,2,3
data_22,data (22).xls,Я,Национальный проект «Семья»,2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),Суммарный коэффициент рождаемости третьих и последующих детей (Я2),Суммарный коэффициент рождаемости третьих и последующих детей (Я2),Суммарный коэффициент рождаемости третьих и последующих детей (Я2),Суммарный коэффициент рождаемости третьих и последующих детей (Я2),1.0,единица,2025 - 2026,22.04.2026,"- Годовая
 * Характеристика: не охарактеризована
 * Представляется: на 7-й рабочий день после отчетного периода
 * след. обновление: 09.01.2027
 * Характеристика: не охарактеризована
 * Представляется: 18 апреля
 * след. обновление: 18.04.2027
- Месячная
 * Характеристика: не охарактеризована
 * Представляется: на 7-й рабочий день после отчетного периода
 * след. обновление: 09.05.2026
 * Характеристика: не охарактеризована
 * Представляется: на 14-й рабочий день после отчетного периода
 * след. обновление: 18.05.2026",- Классификатор объектов административно-территориального деления (ОКАТО),"Показатель определяет, сколько в среднем родила бы одна женщина третьих и последующих детей на протяжении всего репродуктивного периода при сохранении в каждом возрасте уровня рождаемости того года, для которого вычисляется показатель. Статистические данные по Российской Федерации публикуются без учета статистической информации по Донецкой Народной Республике (ДНР), Луганской Народной Республике (ЛНР), Запорожской и Херсонской областям",Расчет,Федеральная служба государственной статистики,Управление статистики населения и здравоохранения,,"Ильин И.В. - (495) 598-00-42, 99781 iliniv@rosstat.gov.ru",1536,4,2,2,3
data_23,data (23).xls,Я,Национальный проект «Семья»,2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)","Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)","Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)","Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)","Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",1.0,процент,2025 - 2026,09.04.2026,"- Годовая
 * Характеристика: за год
 * Представляется: на 6-й рабочий день после отчетного периода
- Месячная
 * Характеристика: за отчетный месяц
 * Представляется: на 15-й рабочий день после отчетного периода",- ОКАТО,Приказ Минтруда России от 29 ноября 2024 года № 643,Расчет,Министерство труда и социальной защиты Российской Федерации,"Департамент социальной защиты и социального обслуживания, Министерства труда и социальной защиты Российской Федерации",,Меньщиков Григорий Константинович - 8(495)5878889 1250 menshchikov_gk@mintrud.gov.ru,1350,4,2,2,3
data_24,data (24).xls,Я,Национальный проект «Семья»,2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)","Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)","Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)","Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)","Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",1.0,единица,2025 - 2026,02.04.2026,"- Годовая
 * Характеристика: нарастающим итогом на конец отчетного периода
 * Представляется: на 8-й рабочий день после отчетного периода
 * след. обновление: 10.01.2027
- Месячная
 * Характеристика: нарастающим итогом на конец отчетного периода
 * Представляется: на 8-й рабочий день после отчетного периода
 * след. обновление: 10.05.2026",- ОКАТО,"Приказ Министерства культуры Российской Федерации от 27.02.2025г. № 358 «Об утверждении методик расчета показателей национального проекта «Семья», федерального проекта «Семейные ценности и инфраструктура культуры (Культура для семьи)»",Расчет,Министерство культуры Российской Федерации,ФГБУ ГИВЦ Минкультуры России,,Мокров Сергей Сергеевич - 8 (495) 748-60-70 доб. 2811 sergey.mokrov@givc.mkrf.ru,15,4,2,2,3
data_25,data (25).xls,Я,Национальный проект «Семья»,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)","Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)","Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)","Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)","Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",1.0,процент,2025 - 2026,02.04.2026,"- Годовая
 * Характеристика: за период
 * Представляется: на 8-й рабочий день после отчетного периода
 * след. обновление: 10.01.2027
- Месячная
 * Характеристика: за период
 * Представляется: на 8-й рабочий день после отчетного периода
 * след. обновление: 10.05.2026",- ОКАТО,"Приказ Министерства культуры Российской Федерации от 27.02.2025г. № 358 «Об утверждении методик расчета показателей национального проекта «Семья», федерального проекта «Семейные ценности и инфраструктура культуры (Культура для семьи)»",Расчет,Министерство культуры Российской Федерации,ФГБУ ГИВЦ Минкультуры России,,Мокров Сергей Сергеевич - 8 (495) 748-60-70 доб. 2811 sergey.mokrov@givc.mkrf.ru,1376,4,2,2,3
data_26,data (26).xls,Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.2,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей","Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей(Я1)","Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей(Я1)","Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей","Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей(Я1)",1.0,процент,2025 - 2026,02.04.2026,"- Годовая
 * Характеристика: на 31 декабря 
 * Представляется: на 15-й рабочий день после отчетного периода
 * след. обновление: 21.01.2027
- Месячная
 * Характеристика: на конец отчетного месяца
 * Представляется: на 6-й рабочий день после отчетного периода
 * след. обновление: 08.05.2026",- ОКСМ,"1. Настоящая Методика разработана в соответствии с пунктом 16 Положения об организации проектной деятельности в Правительстве Российской Федерации, утвержденного постановлением Правительства Российской Федерации от 31 октября 2018 г. N 1288 ""Об организации проектной деятельности в Правительстве Российской Федерации"", и национальным стандартом Российской Федерации ГОСТ Р 71136-2023 ""Национальные цели развития, национальные проекты (программы) и государственные программы Российской Федерации. Методики расчета показателей. Общие положения и требования к применяемым при расчетах данным"", утвержденным приказом Росстандарта от 6 декабря 2023 г. N 1521-ст. 2. Настоящая методика применяется для расчета показателя ""Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей"" (далее - Показатель) федерального проекта ""Поддержка семьи"", входящего в состав национального проекта ""Семья"". 3. Показатель характеризует долю семей с детьми, получивших в отчетном периоде меры социальной поддержки на детей на основании только заявления или проактивно (без предоставления документов), в общем количестве семей с детьми, которым в отчетном периоде назначены меры социальной поддержки. 4. Государственным органом, ответственным за формирование и представление (распространение) информации по Показателю, является Фонд пенсионного и социального страхования Российской Федерации. 5. Показатель рассчитывается Фондом пенсионного и социального страхования Российской Федерации в государственной информационной системе ""Цифровая аналитическая платформа предоставления статистических данных"" (далее - информационная система) в соответствии с алгоритмом расчета, приведенным в настоящей методике, и на основании значений компонентов показателей, сформированных в государственной информационной системе ""Единая централизованная цифровая платформа в социальной сфере"" (далее - ГИС ЕЦП). 6. Показатель рассчитывается в целом по Российской Федерации с ежемесячной периодичностью по состоянию на конец отчетного месяца и с годовой периодичностью по состоянию на 31-ое число последнего месяца отчетного года. 7. Тип Показателя - возрастающий. Предельное значение Показателя стремится к 100%. 8. Сроки расчета Показателя в информационной системе, представления (распространения) информации по Показателю: ежемесячно - не позднее 6-го рабочего дня месяца, следующего за отчетным месяцем; ежегодно - не позднее 15-го рабочего дня месяца, следующего за отчетным годом. В случае непредставления для расчета Показателя в информационную систему значений компонентов Показателя в порядке и в сроки, установленные настоящей Методикой, при расчете значения Показателя используются данные прошлого периода. 9. Единица измерения ежемесячного и ежегодного Показателя - процент (код Показателя по Общероссийскому классификатору единиц измерения - 744). 10. Показатель (Sмес) рассчитывается ежемесячно в целом по Российской Федерации по следующей формуле: где Sпро - количество семей с детьми, которым в отчетном месяце назначено не менее одной меры социальной поддержки, полагающейся семьям с детьми на основании только заявления или проактивно (без предоставления документов) в соответствии с нормативными правовыми актами федерального уровня (единиц); Sобщ - общее количество семей с детьми, которым в отчетном месяце назначено не менее одной меры социальной поддержки, полагающейся семьям с детьми в соответствии с нормативными правовыми актами федерального уровня (единиц). Источником информации для компонента Sпро и компонента Sобщ являются данные ГИС ЕЦП, Положение о которой утверждено постановлением Правительства Российской Федерации от 29 декабря 2023 г. N 2386 ""О государственной информационной системе ""Единая централизованная цифровая платформа в социальной сфере"" (далее - Положение о ГИС ЕЦП). Согласно пункту 10 Положения о ГИС ЕЦП оператором ГИС ЕЦП является Фонд пенсионного и социального страхования Российской Федерации, координатором создания, функционирования и развития ГИС ЕЦП - Министерство труда и социальной защиты Российской Федерации. Поставщиками информации в ГИС ЕЦП в соответствии с частью 6 статьи 6.13 Федерального закона от 17 июля 1999 г. N 178-ФЗ ""О государственной социальной помощи"" являются Фонд пенсионного и социального страхования Российской Федерации, органы государственной власти (государственные органы), органы местного самоуправления и организации, предоставляющие меры социальной защиты (поддержки). Верификация данных при размещении в ГИС ЕЦП сведений о гражданах, которым в отчетном месяце назначено не менее одной меры социальной поддержки, полагающейся семьям с детьми, обеспечивается уполномоченными сотрудниками органов, назначающих меры социальной поддержки (Фондом пенсионного и социального страхования Российской Федерации и его территориальными органами, органами исполнительной власти субъектов Российской Федерации, органами местного самоуправления, органами и организациями, осуществляющими назначение и выплату государственных пособий) после вынесения соответствующих решений о назначении меры социальной поддержки. 11. Для расчета компонента Sпро суммируются значения количества граждан по уникальному страховому номеру индивидуального лицевого счета (далее - СНИЛС), которым в отчетном месяце назначены следующие меры социальной поддержки на детей, установленные нормативными правовыми актами федерального уровня, получение которых осуществляется на основании только заявления или проактивно (без предоставления документов): распоряжение материнским (семейным) капиталом на основании только заявления (Федеральный закон от 29 декабря 2006 г. N 256-ФЗ ""О дополнительных мерах государственной поддержки семей, имеющих детей"" (далее - Федеральный закон N 256-ФЗ); проактивная выдача сертификата на материнский (семейный) капитал (Федеральный закон N 256-ФЗ); ежемесячное пособие в связи с рождением и воспитанием ребенка (Федеральный закон от 19 мая 1995 г. N 81-ФЗ ""О государственных пособиях гражданам, имеющим детей"" (далее - Федеральный закон N 81-ФЗ); пособие по беременности и родам (Федеральный закон N 81-ФЗ, Федеральный закон от 29 декабря 2006 г. N 255-ФЗ ""Об обязательном социальном страховании на случай временной нетрудоспособности и в связи с материнством""); единовременное пособие при рождении ребенка (Федеральный закон N 81-ФЗ); ежемесячное пособие по уходу за ребенком (Федеральный закон N 81-ФЗ); единовременное пособие при передаче ребенка на воспитание в семью (Федеральный закон N 81-ФЗ); ежемесячная выплата в связи с рождением (усыновлением) первого ребенка (Федеральный закон от 28 декабря 2017 г. N 418-ФЗ ""О ежемесячных выплатах семьям, имеющим детей""). В случае вступления в силу нормативного правового акта федерального уровня, нормы которого предусматривают введение новой меры социальной поддержки на детей на основании только заявления или проактивно (без предоставления документов) взамен меры социальной поддержки, предусмотренной настоящим пунктом, то граждане, которым в отчетном периоде назначена вновь введенная мера социальной поддержки, учитываются при расчете Sпро. 12. Компонент Sобщ рассчитывается по формуле: Sобщ = Sпро + Sмсп, где Sпро - количество семей с детьми, которым в отчетном месяце назначено не менее одной меры социальной поддержки, полагающейся семьям с детьми на основании только заявления или проактивно (без предоставления документов) в соответствии с нормативными правовыми актами федерального уровня (единиц); Sмсп, - количество семей с детьми, которым в отчетном месяце назначены меры социальной поддержки на детей, установленные нормативными правовыми актами федерального уровня, за исключением мер социальной поддержки, которые учитываются при расчете компонента Sпро (единиц). Источником набора данных для компонента Sмсп являются данные ГИС ЕЦП. Для расчета компонента Sмсп суммируются значения количества граждан по уникальному СНИЛС, которым в отчетном месяце назначены следующие меры социальной поддержки на детей, установленные нормативными правовыми актами федерального уровня: распоряжение материнским (семейным) капиталом, за исключением граждан, которые в отчетном месяце распорядились средствами материнского (семейного) капитала на основании только заявления (без предоставления дополнительных документов) (Федеральный закон N 256-ФЗ); выдача сертификата на материнский (семейный) капитал, за исключением граждан, которым сертификат на материнский (семейный) капитал в отчетном месяце выдан проактивно (Федеральный закон N 256-ФЗ); единовременное пособие беременной жене военнослужащего, проходящего военную службу по призыву (Федеральный закон N 81-ФЗ, постановление Правительства Российской Федерации от 16 апреля 2008 г. N 275 ""О порядке предоставления информации, необходимой для назначения и выплаты единовременного пособия беременной жене военнослужащего, проходящего военную службу по призыву, и ежемесячного пособия на ребенка военнослужащего, проходящего военную службу по призыву, гражданам, имеющим право на получение этих пособий, а также органам, осуществляющим назначение и выплату указанных пособий"" (далее - постановление N 275); ежемесячное пособие на ребенка военнослужащего, проходящего военную службу по призыву (Федеральный закон N 81-ФЗ, постановление N 275). 13. Показатель (Sгод) рассчитывается ежегодно по Российской Федерации в целом по следующей формуле: где Siпро - количество семей с детьми, которым в i-ом месяце назначено не менее одной меры социальной поддержки, полагающейся семьям с детьми на основании только заявления или проактивно (без предоставления документов) в соответствии с нормативными правовыми актами федерального уровня (единиц); Siобщ - общее количество семей с детьми, которым в i-ом месяце назначено не менее одной меры социальной поддержки, полагающейся семьям с детьми в соответствии с нормативными правовыми актами федерального уровня (единиц); i - порядковый номер месяца. Источником набора данных, используемых для расчета компонентов Siпро и Siобщ являются данные ГИС ЕЦП. Для расчета годового Показателя суммируются значения количества граждан по уникальному СНИЛС, которым в отчетном году были назначены меры социальной поддержки, по месяцам.",Расчет,Фонд пенсионного и социального страхования Российской Федерации,Департамент интеграции с региональными ИТ-системами,,Малышкина Татьяна Анатольевна - (495) 986-47-80 tmalyshkina@sfr.gov.ru,16,4,2,2,3
data_27,data (27).xls,Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.3,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций","Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций","Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций","Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций","Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",1.0,процент,2025 - 2026,08.04.2026,"- Годовая
 * Характеристика: за отчетный год
 * Представляется: на 6-й рабочий день после отчетного периода
 * след. обновление: 08.01.2027
 * Характеристика: (уточненные данные)
 * Представляется: 17 апреля 
 * след. обновление: 17.04.2027
- Месячная
 * Характеристика: за отчетный месяц
 * Представляется: На 6-й рабочий день месяца, следующего за отчетным
 * след. обновление: 08.04.2027",- ОКАТО,"Показатель (К) рассчитывается по формуле: K= ((R+P)/M)*100%, где R – количество капитально отремонтированных зданий дошкольных образовательных организаций за счет средств субъектов Российской Федерации (без привлечения средств федерального бюджета), нарастающим итогом с начала реализации проекта по конец отчетного месяца (года); Р – количество капитально отремонтированных зданий дошкольных образовательных организаций с привлечением средств федерального бюджета, нарастающим итогом с начала реализации проекта по конец отчетного месяца (года); M – количество зданий дошкольных образовательных учреждений всего по Российской Федерации (объектов). Показатель рассчитывается в целом по Российской Федерации нарастающим итогом с ежемесячной и годовой периодичностью.",Расчет,Министерство просвещения Российской Федерации,,,Николаев Андрей Викторович - +7 (963) 391-89-50 bekulova-sa@edu.gov.ru,15,4,2,2,3
data_28,data (28).xls,Я2,Федеральный проект «Многодетная семья»,2.14.Я2.4,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского","Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского","Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского","Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского","Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",1.0,процент,2025 - 2026,09.04.2026,"- Годовая
 * Представляется: на 7-й рабочий день после отчетного периода
 * след. обновление: 09.04.2027
 * Характеристика: за год
 * Представляется: на 7-й рабочий день после отчетного периода
 * след. обновление: 09.04.2027
 * Характеристика: за год
 * Представляется: 18 апреля
 * след. обновление: 18.04.2027
- Месячная
 * Характеристика: в отчетном месяце
 * Представляется: на 7-й рабочий день после отчетного периода
 * след. обновление: 09.04.2027",- ОКАТО,Приказ Минтруда России от 21.03.2025 № 140,Расчет,Министерство труда и социальной защиты Российской Федерации,"Департамент демографической и семейной политики, Министерства труда и социальной защиты Российской Федерации",,Гарбалы Кирилл Федорович - 2755 garbaly_kf@mintrud.gov.ru,15,4,2,2,3
data_29,data (29).xls,Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,1.0,процент,2025 - 2026,07.04.2026,"- Годовая
 * Характеристика: за год
 * Представляется: 25 марта
 * след. обновление: 25.03.2027
- Месячная
 * Характеристика: в отчетном месяце
 * Представляется: 10-го числа месяца, следующего за отчетным периодом
 * след. обновление: 07.04.2027",- ОКАТО,"Показатель рассчитывается как соотношение числа лиц репродуктивного возраста (18–49 лет), осмотренных с целью оценки репродуктивного здоровья, к общему числу лиц репродуктивного возраста (18–49 лет), подлежащих осмотрам с целью оценки репродуктивного здоровья на конец отчетного периода.",Расчет,Министерство здравоохранения Российской Федерации,,,"Ежемесячной информации - Кулаев А.Ш..; Ежегодной информации – Александрова Г.А. - 8 (495) 627 24 00, доб. 15 26;8 (495) 627 24 00, доб. 13 20 KulaevAS@minzdrav.gov.ru;AleksandrovaGA@minzdrav.gov.ru",1290,4,2,2,3
