project_code,project_name,indicator_code,indicator_name,archive_source_count,n_records,n_numeric_values,n_non_numeric_markers,n_territories,period_min,period_max,coverage_status
Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,1,89,89,0,87,2021-01-01,2024-12-31,представлен в переданном архиве
Я,Национальный проект «Семья»,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),1,1536,1536,0,96,2025-01-01,2026-03-31,представлен в переданном архиве
Я,Национальный проект «Семья»,2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),1,1536,1536,0,96,2025-01-01,2026-03-31,представлен в переданном архиве
Я,Национальный проект «Семья»,2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",1,1350,1350,0,90,2025-01-01,2026-03-31,представлен в переданном архиве
Я,Национальный проект «Семья»,2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",1,15,15,0,1,2025-01-01,2026-03-31,представлен в переданном архиве
Я,Национальный проект «Семья»,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",1,1376,1376,0,86,2025-01-01,2026-03-31,представлен в переданном архиве
Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.1,Доля получателей ежегодной семейной выплаты от общего числа трудоспособного населения,0,0,0,0,0,,,не представлен в ЕМИСС по пользовательскому перечню
Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.2,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей",1,16,16,0,1,2025-01-01,2026-03-31,представлен в переданном архиве
Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.3,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",1,15,15,0,1,2025-01-01,2026-03-31,представлен в переданном архиве
Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.4,"Доля образовательных организаций высшего образования, на базе которых созданы комнаты матери и ребенка и (или) группы кратковременного пребывания детей, из числа образовательных организаций, испытывающих в них потребность",0,0,0,0,0,,,"ожидался в ЕМИСС по пользовательскому перечню, но отсутствует в переданном архиве"
Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.5,"Доля молодых студенческих семей и матерей (отцов) с детьми, получивших поддержку образовательных организаций высшего образования от числа всех молодых студенческих семей и матерей (отцов) с детьми, обучающихся в вузах",0,0,0,0,0,,,"ожидался в ЕМИСС по пользовательскому перечню, но отсутствует в переданном архиве"
Я2,Федеральный проект «Многодетная семья»,2.14.Я2.1,"Доля граждан, охваченных государственной социальной помощью на основании социального контракта, в общей численности малоимущих граждан",0,0,0,0,0,,,не представлен в ЕМИСС по пользовательскому перечню
Я2,Федеральный проект «Многодетная семья»,2.14.Я2.2,Доля обучающихся 1-4 классов в группах продленного дня,0,0,0,0,0,,,"противоречие в пользовательском перечне: счетчик 0, но название таблицы ЕМИСС приведено; в архиве отсутствует"
Я2,Федеральный проект «Многодетная семья»,2.14.Я2.3,Темп прироста числа многодетных семей,0,0,0,0,0,,,не представлен в ЕМИСС по пользовательскому перечню
Я2,Федеральный проект «Многодетная семья»,2.14.Я2.4,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",1,15,15,0,1,2025-01-01,2026-03-31,представлен в переданном архиве
Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,1,1290,1290,0,86,2025-01-01,2026-03-31,представлен в переданном архиве
Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.2,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",1,1376,1369,7,86,2024-01-01,2026-03-31,представлен в переданном архиве
Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.3,Младенческая смертность,2,7317,7317,0,101,2012-01-01,2026-03-31,представлен в переданном архиве
Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.4,"Доля взятых под диспансерное наблюдение детей в возрасте 0–17 лет с впервые в жизни установленными диагнозами, от общего проведения профилактических медицинских осмотров",1,1290,1290,0,86,2025-01-01,2026-03-31,представлен в переданном архиве
Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.5,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности",1,1290,1290,0,86,2025-01-01,2026-03-31,представлен в переданном архиве
Я4,Федеральный проект «Старшее поколение»,2.14.Я4.1,"Доля граждан старшего поколения, вовлеченных в региональные программы «Активное долголетие»",0,0,0,0,0,,,не представлен в ЕМИСС по пользовательскому перечню
Я5,Федеральный проект «Семейные ценности и инфраструктура культуры»,2.14.Я5.1,"Доля граждан, считающих семью главной ценностью",0,0,0,0,0,,,не представлен в ЕМИСС по пользовательскому перечню
Я5,Федеральный проект «Семейные ценности и инфраструктура культуры»,2.14.Я5.2,Увеличение числа посещений организаций культуры по отношению к 2023 году,1,1290,1290,0,86,2025-01-01,2026-03-31,представлен в переданном архиве
